pkid,method,layers,depth,num_params
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
1,HeaSolver,5,86,210
1,HeaSolver,5,86,210
1,HeaSolver,5,86,210
1,HeaSolver,5,86,210
1,HeaSolver,5,86,210
1,HeaSolver,5,86,210
1,HeaSolver,5,86,210
1,HeaSolver,5,86,210
1,HeaSolver,5,86,210
1,HeaSolver,5,86,210
2,HeaSolver,5,121,315
2,HeaSolver,5,121,315
2,HeaSolver,5,121,315
2,HeaSolver,5,121,315
2,HeaSolver,5,121,315
2,HeaSolver,5,121,315
2,HeaSolver,5,121,315
2,HeaSolver,5,121,315
2,HeaSolver,5,121,315
2,HeaSolver,5,121,315
3,HeaSolver,5,156,420
3,HeaSolver,5,156,420
3,HeaSolver,5,156,420
3,HeaSolver,5,156,420
3,HeaSolver,5,156,420
3,HeaSolver,5,156,420
3,HeaSolver,5,156,420
3,HeaSolver,5,156,420
3,HeaSolver,5,156,420
3,HeaSolver,5,156,420
4,HeaSolver,5,76,180
4,HeaSolver,5,76,180
4,HeaSolver,5,76,180
4,HeaSolver,5,76,180
4,HeaSolver,5,76,180
4,HeaSolver,5,76,180
4,HeaSolver,5,76,180
4,HeaSolver,5,76,180
4,HeaSolver,5,76,180
4,HeaSolver,5,76,180
5,HeaSolver,5,91,225
5,HeaSolver,5,91,225
5,HeaSolver,5,91,225
5,HeaSolver,5,91,225
5,HeaSolver,5,91,225
5,HeaSolver,5,91,225
5,HeaSolver,5,91,225
5,HeaSolver,5,91,225
5,HeaSolver,5,91,225
5,HeaSolver,5,91,225
6,HeaSolver,5,136,360
6,HeaSolver,5,136,360
6,HeaSolver,5,136,360
6,HeaSolver,5,136,360
6,HeaSolver,5,136,360
6,HeaSolver,5,136,360
6,HeaSolver,5,136,360
6,HeaSolver,5,136,360
6,HeaSolver,5,136,360
6,HeaSolver,5,136,360
7,HeaSolver,5,156,420
7,HeaSolver,5,156,420
7,HeaSolver,5,156,420
7,HeaSolver,5,156,420
7,HeaSolver,5,156,420
7,HeaSolver,5,156,420
7,HeaSolver,5,156,420
7,HeaSolver,5,156,420
7,HeaSolver,5,156,420
7,HeaSolver,5,156,420
8,HeaSolver,5,56,120
8,HeaSolver,5,56,120
8,HeaSolver,5,56,120
8,HeaSolver,5,56,120
8,HeaSolver,5,56,120
8,HeaSolver,5,56,120
8,HeaSolver,5,56,120
8,HeaSolver,5,56,120
8,HeaSolver,5,56,120
8,HeaSolver,5,56,120
9,HeaSolver,5,106,270
9,HeaSolver,5,106,270
9,HeaSolver,5,106,270
9,HeaSolver,5,106,270
9,HeaSolver,5,106,270
9,HeaSolver,5,106,270
9,HeaSolver,5,106,270
9,HeaSolver,5,106,270
9,HeaSolver,5,106,270
9,HeaSolver,5,106,270
10,HeaSolver,5,136,360
10,HeaSolver,5,136,360
10,HeaSolver,5,136,360
10,HeaSolver,5,136,360
10,HeaSolver,5,136,360
10,HeaSolver,5,136,360
10,HeaSolver,5,136,360
10,HeaSolver,5,136,360
10,HeaSolver,5,136,360
10,HeaSolver,5,136,360
11,HeaSolver,5,151,405
11,HeaSolver,5,151,405
11,HeaSolver,5,151,405
11,HeaSolver,5,151,405
11,HeaSolver,5,151,405
11,HeaSolver,5,151,405
11,HeaSolver,5,151,405
11,HeaSolver,5,151,405
11,HeaSolver,5,151,405
11,HeaSolver,5,151,405
