pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,1,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,2,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,3,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,4,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,5,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,6,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,7,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,8,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,9,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,10,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,11,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,12,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,13,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,14,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,15,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,16,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,17,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,18,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,19,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,20,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,21,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,22,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,23,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,24,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,25,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,26,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,27,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,28,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,29,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,30,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,31,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,32,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,33,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,34,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,35,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,36,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,37,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,38,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,39,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,40,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,41,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,42,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,43,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,44,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,45,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,46,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,47,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,48,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,49,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,50,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,51,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,52,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,53,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,54,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,55,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,56,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,57,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,58,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,59,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,60,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,61,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,62,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,63,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,64,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,65,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,66,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,67,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,68,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,69,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,70,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,71,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,72,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,73,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,74,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,75,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,76,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,77,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,78,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,79,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,80,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,81,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,82,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,83,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,84,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,85,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,86,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,87,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,88,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,89,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,90,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,91,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,92,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,93,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,94,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,95,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,96,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,97,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,98,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,99,5,15,8,PenaltySolver,error,error,error,error,error,error,error
0,0,5,15,8,HeaSolver,error,error,error,error,error,error,error
0,1,5,15,8,HeaSolver,error,error,error,error,error,error,error
0,2,5,15,8,HeaSolver,error,error,error,error,error,error,error
0,3,5,15,8,HeaSolver,error,error,error,error,error,error,error
0,4,5,15,8,HeaSolver,error,error,error,error,error,error,error
0,5,5,15,8,HeaSolver,error,error,error,error,error,error,error
