pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,5,6,3,QtoSimplifyDiscardSegmentedSolver,100.0,100.0,0.0,26,0.3660132829536451,3.718321298045339,82
0,1,5,6,3,QtoSimplifyDiscardSegmentedSolver,100.0,100.0,0.0,31,0.738066742909723,3.5937516040867195,100
0,2,5,6,3,QtoSimplifyDiscardSegmentedSolver,100.0,100.0,0.0,24,0.3544958359998418,3.5163101049984107,76
0,3,5,6,3,QtoSimplifyDiscardSegmentedSolver,100.0,100.0,0.0,21,0.20068892108974978,3.344535202908446,66
0,4,5,6,3,QtoSimplifyDiscardSegmentedSolver,99.90234375,100.0,0.0011858258920101243,29,0.6051737750094617,3.6254800359893125,94
0,5,5,6,3,QtoSimplifyDiscardSegmentedSolver,99.8046875,100.0,0.0010416666659722222,35,0.5956706229917472,4.200351231003879,119
0,6,5,6,3,QtoSimplifyDiscardSegmentedSolver,99.90234375,100.0,0.002929687495814732,31,0.4367640150449006,4.117806636961177,103
0,7,5,6,3,QtoSimplifyDiscardSegmentedSolver,100.0,100.0,0.0,31,0.44377023505512625,4.017220148947672,97
0,8,5,6,3,QtoSimplifyDiscardSegmentedSolver,100.0,100.0,0.0,22,0.1984146119793877,3.4127852660167264,71
0,9,5,6,3,QtoSimplifyDiscardSegmentedSolver,99.90234375,100.0,0.0007934570307540893,28,0.407449774997076,3.694105018992559,82
0,10,5,6,3,QtoSimplifyDiscardSegmentedSolver,99.8046875,100.0,0.0036892361070119594,31,0.6225665319943801,3.5515110430133063,99
0,11,5,6,3,QtoSimplifyDiscardSegmentedSolver,99.70703125,100.0,0.002412683822110186,30,0.4555950170470169,3.207884783943882,87
0,12,5,6,3,QtoSimplifyDiscardSegmentedSolver,100.0,100.0,0.0,20,0.2921498439827701,2.62205208701198,63
0,13,5,6,3,QtoSimplifyDiscardSegmentedSolver,99.90234375,100.0,0.00021229619555987122,33,0.43444466800428927,4.0742434349958785,102
0,14,5,6,3,QtoSimplifyDiscardSegmentedSolver,100.0,100.0,0.0,24,0.29442807302984875,3.372203307968448,76
0,15,5,6,3,QtoSimplifyDiscardSegmentedSolver,99.90234375,100.0,4.438920452527763e-05,28,0.7513348810316529,3.561094359960407,97
0,16,5,6,3,QtoSimplifyDiscardSegmentedSolver,99.8046875,100.0,0.001838235293036332,26,0.40576264704577625,3.684805049953866,83
0,17,5,6,3,QtoSimplifyDiscardSegmentedSolver,100.0,100.0,0.0,24,0.3697364529944025,3.54195112400339,75
0,18,5,6,3,QtoSimplifyDiscardSegmentedSolver,99.609375,100.0,0.0018601190467332767,33,0.5031690168834757,4.231925418105675,117
0,19,5,6,3,QtoSimplifyDiscardSegmentedSolver,99.70703125,100.0,0.00463867186920166,32,0.6310079859540565,3.6848915250448044,104
0,20,5,6,3,QtoSimplifyDiscardSegmentedSolver,99.8046875,100.0,0.0009300595233666383,35,0.5460537960170768,3.8331275669916067,104
0,21,5,6,3,QtoSimplifyDiscardSegmentedSolver,100.0,100.0,0.0,25,0.6751744510402204,3.327473982964875,79
0,22,5,6,3,QtoSimplifyDiscardSegmentedSolver,99.90234375,100.0,0.0007812499996875,28,0.4670198738895124,3.796251201099949,92
0,23,5,6,3,QtoSimplifyDiscardSegmentedSolver,99.90234375,100.0,0.00025475543467184546,35,0.6666048950137338,3.7386246109817876,111
