
pksid,pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,0,5,6,3,HeaSolver,1.171875,7.12890625,46.388160320172304,71,3.2416795419849223,9984.800608091013,78
0,0,0,5,6,3,PenaltySolver,1.07421875,5.56640625,46.183221704198466,71,3.1299244429537794,9787.182338418046,78
0,0,0,5,6,3,ChocoSolver,0.9765625,5.46875,51.174432639321694,71,4.454072633976466,23518.655056574033,78
0,0,0,5,6,3,QtoSolver,1.7578125,6.640625,50.125185988035625,71,4.6280392919288715,37207.46631945907,78
0,0,0,5,6,3,QtoSimplifySolver,2.1484375,6.15234375,46.5714285492517,71,4.5477237150480505,36858.09964388596,78
0,0,0,5,6,3,QtoSimplifyDiscardSolver,7.12890625,13.4765625,28.790922605337656,15,1.0272447050083429,578.5529819239891,17
0,0,0,5,6,3,QtoSimplifyDiscardSegmentedSolver,24.52062754212667,100.0,0.8856146754311885,27,6.6557315018435474,55713.25218025617,138
0,0,1,5,6,3,HeaSolver,0.5859375,5.17578125,209.44257770611486,71,3.3111051869636867,10186.776716018037,78
0,0,1,5,6,3,PenaltySolver,0.9765625,6.8359375,182.59257775981484,71,3.440301461101626,9984.977443883909,78
0,0,1,5,6,3,ChocoSolver,1.66015625,6.8359375,198.54121054041758,71,4.286123700963799,32164.785148323033,78
0,0,1,5,6,3,QtoSolver,2.05078125,6.54296875,196.84199179381602,71,4.493473322087084,37793.44286172991,78
0,0,1,5,6,3,QtoSimplifySolver,2.05078125,6.34765625,201.2083980350832,71,4.285984683025163,32893.08456963897,78
0,0,1,5,6,3,QtoSimplifyDiscardSolver,5.859375,13.8671875,120.65175757119648,16,1.1544409240450477,577.6306561009551,18
0,0,1,5,6,3,QtoSimplifyDiscardSegmentedSolver,25.37269804150833,100.0,0.9907629328328559,29,7.045523915978265,56057.96234066802,136
0,0,2,5,6,3,HeaSolver,1.26953125,6.8359375,63.85332026993112,71,2.7963576010224642,9583.994729404978,78
0,0,2,5,6,3,PenaltySolver,0.87890625,4.98046875,67.2722004759852,71,3.253912141008186,10187.816268064998,78
0,0,2,5,6,3,ChocoSolver,1.26953125,5.2734375,71.98118484784587,71,3.9438641910091974,27404.32561738699,78
0,0,2,5,6,3,QtoSolver,1.3671875,5.95703125,68.13346349624436,71,4.284097444964573,29675.33107937104,78
0,0,2,5,6,3,QtoSimplifySolver,1.5625,5.17578125,69.73951818267365,71,4.4589567460352555,36857.974358121966,78
0,0,2,5,6,3,QtoSimplifyDiscardSolver,6.640625,13.4765625,40.40748695222834,16,1.033759796016966,578.5847408759873,18
0,0,2,5,6,3,QtoSimplifyDiscardSegmentedSolver,31.754111198120594,100.0,0.5926128944104585,29,6.960105093909078,56057.8912344401,138
0,0,3,5,6,3,HeaSolver,1.5625,6.4453125,83.89794914883504,71,3.453772566965199,10187.255458974032,78
