pksid,pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
2,0,0,5,7,4,HeaSolver,0.9765625,4.296875,72.64306636084808,31,3.6802946469397284,448.6640960840741,17408
2,0,0,5,7,4,PenaltySolver,0.5859375,3.3203125,74.89099116413063,31,3.6047469189506955,449.6740306830616,17408
2,0,0,1,7,4,ChocoSolver,1.171875,5.859375,71.37329097101669,16,2.0563762251404114,276.5751166398404,9216
2,0,0,5,7,4,QtoSolver,1.3671875,4.6875,76.95410151440369,31,3.770174363919068,449.0604910250404,17408
2,0,0,5,7,4,QtoSimplifySolver,1.7578125,4.8828125,72.83666987635208,31,4.077980777132325,2276.4086838788353,17408
2,0,0,5,7,4,QtoSimplifyDiscardSolver,1.5625,8.59375,60.88391109476005,25,3.903043670929037,448.44972360506654,14336
2,0,0,5,7,4,QtoSimplifyDiscardSegmentedSolver,37.83783783783784,100.0,0.1858108106946792,31,21.735405788291246,11798.127667915716,215040
2,0,1,5,7,4,HeaSolver,2.9296875,4.8828125,43.675781234401505,31,3.6136661919299513,449.594842894061,17408
2,0,1,5,7,4,PenaltySolver,1.171875,2.9296875,40.76102119079963,31,4.04297660489101,449.69307285011746,17408
2,0,1,1,7,4,ChocoSolver,2.5390625,3.7109375,42.89690288646539,15,2.0186172400135547,275.4640146009624,8704
2,0,1,5,7,4,QtoSolver,2.1484375,3.90625,42.35198101166001,31,3.6115121058537625,1958.6777791661443,17408
2,0,1,5,7,4,QtoSimplifySolver,2.9296875,4.4921875,41.16880578886828,31,3.778098159004003,1086.8894454719848,17408
2,0,1,5,7,4,QtoSimplifyDiscardSolver,2.1484375,3.7109375,43.24755857830444,31,5.02071119309403,2321.652197199932,17408
2,0,1,5,7,4,QtoSimplifyDiscardSegmentedSolver,54.16666666666667,100.0,0.049107142839604594,31,27.845008795848116,45328.04250315612,376832
2,0,2,5,7,4,HeaSolver,1.171875,2.5390625,58.74097839464715,31,3.974716872908175,448.570598244085,17408
2,0,2,5,7,4,PenaltySolver,0.78125,3.125,58.128534198510216,31,3.8813886501593515,448.55986012885114,17408
2,0,2,1,7,4,ChocoSolver,2.734375,6.25,54.745256670359396,16,1.8078467010636814,275.40702750592027,9216
2,0,2,5,7,4,QtoSolver,1.3671875,3.515625,54.51404387285045,31,3.834493120899424,449.07399310014443,17408
2,0,2,5,7,4,QtoSimplifySolver,3.3203125,3.515625,60.44428940574081,31,4.150183962890878,1958.1116099551436,17408
2,0,2,5,7,4,QtoSimplifyDiscardSolver,1.3671875,2.9296875,58.70321797799846,31,4.801302235107869,447.8045207668911,17408
2,0,2,5,7,4,QtoSimplifyDiscardSegmentedSolver,39.70588235294118,100.0,0.33263305306289176,31,34.28929313411936,44646.27047650691,354304
2,0,3,5,7,4,HeaSolver,1.7578125,4.4921875,67.68207461517662,31,3.7699931929819286,449.5627472489723,17408
2,0,3,5,7,4,PenaltySolver,1.3671875,3.90625,63.75412322846993,31,3.8530424729106016,448.76956591405906,17408
2,0,3,1,7,4,ChocoSolver,2.34375,5.46875,66.16861975490632,16,1.8637849310180172,275.4238414989668,9216
2,0,3,5,7,4,QtoSolver,2.34375,3.3203125,65.75238711624867,31,3.856199633795768,361.82907596521545,17408
2,0,3,5,7,4,QtoSimplifySolver,2.1484375,5.078125,62.84548607619695,31,4.247589212842286,2322.351349018165,17408
2,0,3,5,7,4,QtoSimplifyDiscardSolver,3.90625,7.421875,62.20941836821699,29,4.65123462700285,447.7248355670017,16384
2,0,3,5,7,4,QtoSimplifyDiscardSegmentedSolver,53.846153846153854,100.0,0.1538461537606836,31,21.248163392941933,11365.915384943073,207872
1,0,0,5,8,6,HeaSolver,0.1953125,1.953125,302.3818355595227,31,8.43849778699223,504.6254769000225,17408
1,0,0,5,8,6,PenaltySolver,0.390625,1.953125,304.8781734470273,31,8.870839166920632,504.71612642903347,17408
1,0,0,1,8,6,ChocoSolver,0.390625,1.3671875,288.70263635787165,16,4.356176527100615,292.43506592686754,9216
1,0,0,5,8,6,QtoSolver,0.78125,3.3203125,260.00048795624934,31,8.058890791027807,504.78910738695413,17408
1,0,0,5,8,6,QtoSimplifySolver,0.1953125,1.171875,286.9941402662573,31,8.278902649239171,505.07284688873915,17408
1,0,0,5,8,6,QtoSimplifyDiscardSolver,1.953125,6.640625,171.65258767605926,15,2.1643036149907857,295.27775079204,8704
1,0,0,5,8,6,QtoSimplifyDiscardSegmentedSolver,20.689655172413794,100.0,0.6443965509186421,28,8.767499603680335,6620.382473643287,94208
1,0,1,5,8,6,HeaSolver,0.9765625,2.34375,95.59340527465093,31,8.63242467888631,504.6161068151123,17408
