pksid,pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,0,5,6,3,HeaSolver,1.3671875,7.71484375,47.863327730184125,71,3.1872227319800004,28099.739070884018,78
0,0,0,5,6,3,PenaltySolver,0.9765625,4.39453125,47.96568078073063,71,2.9768436050180753,28100.376978149983,78
0,0,0,5,6,3,ChocoSolver,1.171875,6.25,46.523623489750655,71,4.893593799963128,34086.54592732304,78
0,0,0,5,6,3,QtoSolver,0.9765625,5.95703125,45.858909948400516,71,4.25012990002142,32412.11639356498,78
0,0,0,5,6,3,QtoSimplifySolver,1.171875,5.95703125,49.20824030394846,71,4.064229510018777,32147.04820868298,78
0,0,0,5,6,3,QtoSimplifyDiscardSolver,10.7421875,21.484375,24.82845050901026,15,0.9341707469902758,27363.162367478006,17
0,0,0,5,6,3,QtoSimplifyDiscardSegmentedSolver,49.924660974384736,100.0,0.4355791536037793,32,6.638730975035287,37188.330238243965,118
0,0,1,5,6,3,HeaSolver,1.5625,6.4453125,204.08945271682109,71,3.0525539360096445,28099.99667291899,78
0,0,1,5,6,3,PenaltySolver,1.171875,6.4453125,192.63281211473438,71,3.2863696600470576,28099.620876643952,78
0,0,1,5,6,3,ChocoSolver,1.171875,5.46875,203.29003865591991,71,3.958997718993487,31423.060239082002,78
0,0,1,5,6,3,QtoSolver,1.85546875,5.6640625,198.36621054076758,71,4.249715229976573,32499.18601801302,78
0,0,1,5,6,3,QtoSimplifySolver,1.85546875,6.73828125,200.2582027244836,71,4.105946294010209,31422.271269348992,78
0,0,1,5,6,3,QtoSimplifyDiscardSolver,9.66796875,21.09375,102.40937479518125,15,0.9258795199930319,27363.752479864004,17
0,0,1,5,6,3,QtoSimplifyDiscardSegmentedSolver,50.249500998003995,100.0,0.49900199500998016,30,6.601789638916671,36974.86027390708,111
0,0,2,5,6,3,HeaSolver,1.66015625,6.0546875,65.74335933117109,71,2.9416060709700105,27954.837910324033,78
0,0,2,5,6,3,PenaltySolver,2.734375,8.7890625,64.17584631138277,71,3.1244385670179327,28226.265493251984,78
0,0,2,5,6,3,ChocoSolver,1.46484375,5.56640625,66.5417968306388,71,3.186067904018273,28469.177354485983,78
0,0,2,5,6,3,QtoSolver,1.171875,6.15234375,66.31035151829309,71,3.954303346992674,31207.21247637801,78
