pkid,method,layers,depth,num_params
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,ChocoSolver,5,507,10
0,ChocoSolver,5,507,10
0,ChocoSolver,5,507,10
0,ChocoSolver,5,507,10
0,ChocoSolver,5,507,10
0,ChocoSolver,5,507,10
0,ChocoSolver,5,507,10
0,ChocoSolver,5,507,10
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,PenaltySolver,5,87,10
0,PenaltySolver,5,87,10
0,PenaltySolver,5,87,10
0,PenaltySolver,5,87,10
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
0,QtoSolver,5,302,9
