pkid,method,layers,depth,num_params,latency_all
3,QtoSimplifyDiscardSolver,5,127933,114,19930826.66665175
3,QtoSimplifyDiscardSolver,5,127246,114,19850712.888874225
3,QtoSimplifyDiscardSolver,5,125268,111,19585653.33331956
3,QtoSimplifyDiscardSolver,5,131335,115,20450367.9999835
3,QtoSimplifyDiscardSolver,5,132319,115,20524359.11109427
3,QtoSimplifyDiscardSolver,5,127779,114,20000842.666651677
3,QtoSimplifyDiscardSolver,5,128206,114,19974026.666651648
3,QtoSimplifyDiscardSolver,5,132274,116,20694926.222204868
3,QtoSimplifyDiscardSolver,5,129204,115,20132853.333317824
3,QtoSimplifyDiscardSolver,5,125571,114,19551875.55554181
3,QtoSimplifyDiscardSolver,5,127005,114,19918851.555540767
3,QtoSimplifyDiscardSolver,5,127251,114,19882218.66665197
3,QtoSimplifyDiscardSolver,5,128180,114,20105991.111095794
3,QtoSimplifyDiscardSolver,5,134421,116,20948903.111092877
3,QtoSimplifyDiscardSolver,5,127873,114,19950716.444429543
3,QtoSimplifyDiscardSolver,5,128776,114,20168959.999984432
3,QtoSimplifyDiscardSolver,5,131584,115,20508319.99998322
3,QtoSimplifyDiscardSolver,5,128762,115,20125752.888873395
3,QtoSimplifyDiscardSolver,5,131207,115,20575957.333316475
3,QtoSimplifyDiscardSolver,5,126864,114,19890787.55554093
3,QtoSimplifyDiscardSolver,5,130319,115,20400085.333317038
3,QtoSimplifyDiscardSolver,5,128845,114,20019960.88887369
3,QtoSimplifyDiscardSolver,5,130324,115,20465358.222205803
3,QtoSimplifyDiscardSolver,5,129754,115,20219843.555539753
3,QtoSimplifyDiscardSolver,5,130049,114,20150431.99998422
3,QtoSimplifyDiscardSolver,5,127283,114,19901329.77776304
3,QtoSimplifyDiscardSolver,5,125369,114,19624483.5555418
3,QtoSimplifyDiscardSolver,5,137832,117,21424028.44442469
3,QtoSimplifyDiscardSolver,5,128513,114,20013966.222207148
3,QtoSimplifyDiscardSolver,5,137679,118,21470392.888869103
3,QtoSimplifyDiscardSolver,5,127244,114,19904935.111096382
3,QtoSimplifyDiscardSolver,5,115614,102,18121653.333324403
3,QtoSimplifyDiscardSolver,5,129398,114,20141358.22220664
3,QtoSimplifyDiscardSolver,5,129886,115,20350037.333317168
3,QtoSimplifyDiscardSolver,5,127741,114,19908707.555540767
3,QtoSimplifyDiscardSolver,5,126872,114,19895207.11109646
3,QtoSimplifyDiscardSolver,5,131840,116,20607935.999982975
3,QtoSimplifyDiscardSolver,5,129599,114,20234961.77776198
3,QtoSimplifyDiscardSolver,5,129420,114,20196074.666650947
3,QtoSimplifyDiscardSolver,5,127859,114,19935967.999985024
3,QtoSimplifyDiscardSolver,5,130235,115,20288337.777761754
3,QtoSimplifyDiscardSolver,5,131123,115,20299768.88887274
3,QtoSimplifyDiscardSolver,5,130094,115,20352085.333317164
3,QtoSimplifyDiscardSolver,5,127128,114,19810279.11109664
3,QtoSimplifyDiscardSolver,5,130849,115,20334122.666650437
3,QtoSimplifyDiscardSolver,5,127833,114,19956952.88887395
3,QtoSimplifyDiscardSolver,5,125854,114,19656810.666652802
3,QtoSimplifyDiscardSolver,5,127001,114,19798940.444430057
3,QtoSimplifyDiscardSolver,5,128681,115,20110474.666651223
3,QtoSimplifyDiscardSolver,5,128384,114,19996600.888873793
3,QtoSimplifyDiscardSolver,5,130918,115,20414485.333316837
3,QtoSimplifyDiscardSolver,5,126828,114,19767164.4444302
3,QtoSimplifyDiscardSolver,5,126790,114,19736412.444430258
3,QtoSimplifyDiscardSolver,5,127921,114,20006819.555540435
3,QtoSimplifyDiscardSolver,5,130586,115,20314104.88887274
