pkid,method,layers,depth,num_params
0,HeaSolver,80,1441,3600
0,HeaSolver,80,1441,3600
0,HeaSolver,80,1441,3600
0,HeaSolver,80,1441,3600
0,HeaSolver,80,1441,3600
0,HeaSolver,80,1441,3600
0,HeaSolver,80,1441,3600
0,HeaSolver,80,1441,3600
0,HeaSolver,80,1441,3600
0,HeaSolver,80,1441,3600
0,PenaltySolver,46,1296,92
0,PenaltySolver,46,1296,92
0,PenaltySolver,46,1296,92
0,PenaltySolver,46,1296,92
0,PenaltySolver,46,1296,92
0,PenaltySolver,46,1296,92
0,PenaltySolver,46,1296,92
0,PenaltySolver,46,1296,92
0,PenaltySolver,46,1296,92
0,PenaltySolver,46,1296,92
0,ChocoSolver,4,1511,8
0,ChocoSolver,4,1511,8
0,ChocoSolver,4,1511,8
0,ChocoSolver,4,1511,8
0,ChocoSolver,4,1511,8
0,ChocoSolver,4,1511,8
0,ChocoSolver,4,1511,8
0,ChocoSolver,4,1511,8
0,ChocoSolver,4,1511,8
0,ChocoSolver,4,1511,8
0,QtoSimplifyDiscardSolver,4,1578,32
0,QtoSimplifyDiscardSolver,4,1482,30
0,QtoSimplifyDiscardSolver,4,1482,30
0,QtoSimplifyDiscardSolver,4,1431,29
0,QtoSimplifyDiscardSolver,4,1383,28
0,QtoSimplifyDiscardSolver,4,1330,27
0,QtoSimplifyDiscardSolver,4,1431,29
0,QtoSimplifyDiscardSolver,4,1383,28
0,QtoSimplifyDiscardSolver,4,1383,28
0,QtoSimplifyDiscardSolver,4,1282,26
