pkid,method,layers,depth,num_params
0,HeaSolver,1,19,45
0,HeaSolver,1,19,45
0,HeaSolver,1,19,45
0,HeaSolver,1,19,45
0,HeaSolver,1,19,45
0,HeaSolver,1,19,45
0,HeaSolver,1,19,45
0,HeaSolver,1,19,45
0,HeaSolver,1,19,45
0,HeaSolver,1,19,45
0,PenaltySolver,13,372,26
0,PenaltySolver,13,372,26
0,PenaltySolver,13,372,26
0,PenaltySolver,13,372,26
0,PenaltySolver,13,372,26
0,PenaltySolver,13,372,26
0,PenaltySolver,13,372,26
0,PenaltySolver,13,372,26
0,PenaltySolver,13,372,26
0,PenaltySolver,13,372,26
0,ChocoSolver,13,4904,26
0,ChocoSolver,13,4904,26
0,ChocoSolver,13,4904,26
0,ChocoSolver,13,4904,26
0,ChocoSolver,13,4904,26
0,ChocoSolver,13,4904,26
0,ChocoSolver,13,4904,26
0,ChocoSolver,13,4904,26
0,ChocoSolver,13,4904,26
0,ChocoSolver,13,4904,26
0,QtoSimplifyDiscardSolver,13,1330,27
0,QtoSimplifyDiscardSolver,13,1282,26
0,QtoSimplifyDiscardSolver,13,1234,25
0,QtoSimplifyDiscardSolver,13,1330,27
0,QtoSimplifyDiscardSolver,13,1530,31
0,QtoSimplifyDiscardSolver,13,1282,26
0,QtoSimplifyDiscardSolver,13,1234,25
0,QtoSimplifyDiscardSolver,13,1282,26
0,QtoSimplifyDiscardSolver,13,1330,27
0,QtoSimplifyDiscardSolver,13,1282,26
