pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,5,6,3,ChocoSolver,15.234375,49.609375,39.94664413982123,84,2.462030929978937,177.53942740382627,87040
0,1,5,6,3,ChocoSolver,5.76171875,50.09765625,125.50846312330512,96,2.789907452650368,207.707618358545,99328
0,2,5,6,3,ChocoSolver,13.4765625,48.14453125,57.07507317084365,87,2.7583593241870403,191.9552102899179,90112
0,3,5,6,3,ChocoSolver,18.1640625,50.390625,66.03385405661024,96,2.7304429970681667,203.32929975166917,99328
0,4,5,6,3,ChocoSolver,12.01171875,49.21875,61.07645080560507,100,3.165922754909843,208.47895074728876,103424
0,5,5,6,3,ChocoSolver,10.3515625,50.0,50.80053704587432,100,2.8646097499877214,209.9839190710336,103424
0,6,5,6,3,ChocoSolver,16.2109375,50.87890625,103.7666013030835,80,2.2342216041870415,167.90138294780627,82944
0,7,5,6,3,ChocoSolver,23.53515625,50.1953125,37.171431074162335,87,2.432270353194326,184.69638615380973,90112
0,8,5,6,3,ChocoSolver,4.78515625,45.3125,110.88281222279298,86,2.4777781632728875,180.79020476248115,89088
0,9,5,6,3,ChocoSolver,4.78515625,47.75390625,55.44885246975143,83,2.609344443771988,178.88329645525664,86016
0,0,5,6,3,ChocoSegmentedSolver,5.46875,31.4453125,53.15003546304542,84,964.1775556118228,7506.707386774011,870400
0,1,5,6,3,ChocoSegmentedSolver,7.2265625,31.4453125,187.95605406097982,94,1064.2273386069573,8250.287831157912,972800
0,2,5,6,3,ChocoSegmentedSolver,7.03125,33.10546875,66.0466307768167,90,1005.6764261526987,7892.2953733219765,931840
0,3,5,6,3,ChocoSegmentedSolver,10.25390625,35.15625,85.95800766923665,103,1082.6503199450672,8394.015843856148,1064960
0,4,5,6,3,ChocoSegmentedSolver,5.95703125,30.859375,86.3051059034927,93,1135.9078989080153,8821.38182080118,962560
0,5,5,6,3,ChocoSegmentedSolver,5.17578125,32.8125,74.05688467305389,86,1069.6753330258653,8179.691406068392,890880
0,6,5,6,3,ChocoSegmentedSolver,6.640625,32.03125,145.3586422147284,95,1187.2904457296245,9064.506143634673,983040
0,7,5,6,3,ChocoSegmentedSolver,8.984375,33.203125,49.48357594933311,86,1009.5819631069899,7735.543217262253,890880
0,8,5,6,3,ChocoSegmentedSolver,8.10546875,32.12890625,148.5964351753839,90,1039.4548468836583,7942.238052595407,931840
0,9,5,6,3,ChocoSegmentedSolver,17.7734375,35.05859375,65.82116690991103,97,1073.7664347398095,8338.910639788024,1003520
0,0,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,63.4765625,77.34375,13.095259221049764,38,2.1859261970967054,262.6730541922152,119808
0,1,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,0.1953125,75.5859375,49.84798160467339,37,2.3310155868530273,258.74654843332246,116736
0,2,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,40.8203125,75.9765625,19.59240720207199,36,2.123277467675507,264.2674403209239,113664
0,3,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,22.265625,75.390625,26.601887976496855,33,1.9490971392951906,244.4884511088021,104448
0,4,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,25.1953125,77.34375,19.907366042989477,44,2.5795199796557426,288.5831556506455,138240
0,5,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,3.02734375,76.26953125,18.89331052325836,34,2.3204546947963536,257.8414483303204,107520
0,6,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,46.58203125,76.66015625,36.0070799881073,39,2.5007710033096373,284.35432940581813,122880
0,7,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,4.98046875,73.4375,15.233842315696506,46,2.668513659853488,299.6538101588376,144384
0,8,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,0.9765625,75.78125,38.6296385753009,36,2.02514439355582,265.56817849865183,113664
0,9,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,2.5390625,73.14453125,22.085082980206145,37,2.1768880705349147,256.81915507745,116736
1,0,5,12,6,ChocoSolver,1.85546875,6.640625,156.11958437511854,83,65.5002283626236,5009.753671813756,86016
1,1,5,12,6,ChocoSolver,2.5390625,5.37109375,105.1952549932675,84,65.90654265554622,5110.018016928341,87040
1,2,5,12,6,ChocoSolver,1.3671875,5.95703125,192.21223936976415,88,65.03301339084283,5269.312480655033,91136
1,3,5,12,6,ChocoSolver,0.9765625,5.859375,115.7473957561684,100,75.79825519537553,5643.669893773738,103424
1,4,5,12,6,ChocoSolver,1.26953125,6.73828125,113.07226555432983,87,69.33648726530373,5189.001757226884,90112
1,5,5,12,6,ChocoSolver
1,6,5,12,6,ChocoSolver,1.7578125,6.25,217.1844479707069,99,75.05025079520419,5566.588712422643,102400
1,7,5,12,6,ChocoSolver
1,8,5,12,6,ChocoSolver
1,9,5,12,6,ChocoSolver,0.09765625,5.56640625,62.438092890647106,85,61.45248490432277,5217.88110017078,88064
