pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,5,6,3,PenaltySolver,4.00390625,9.08203125,59.50825633794704,102,8.631965739006773,29.740823424994232,113
0,1,5,6,3,PenaltySolver,0,38.8671875,156.1321609378928,111,8.93186495298869,32.184767564011054,123
0,2,5,6,3,PenaltySolver,0.78125,18.84765625,80.03283681402145,116,10.076490949999425,33.73005311599991,128
0,3,5,6,3,PenaltySolver,1.85546875,3.90625,99.82845035445258,106,8.605561705984655,30.68754973801515,117
0,4,5,6,3,PenaltySolver,1.66015625,16.30859375,70.79352668458068,115,9.66628393600331,32.38291254199612,127
0,5,5,6,3,PenaltySolver,4.8828125,13.76953125,60.467040940041194,101,8.266171000008399,29.957225484991795,112
0,6,5,6,3,PenaltySolver,2.5390625,5.46875,167.1838374726654,110,8.54998145600075,31.73873519299923,122
0,7,5,6,3,PenaltySolver,2.9296875,19.3359375,44.776100811567176,110,7.994830338004249,32.249574463996396,122
0,8,5,6,3,PenaltySolver,1.5625,15.8203125,139.01928676182678,136,11.159911177013782,38.91419848498663,150
0,9,5,6,3,PenaltySolver,16.11328125,29.1015625,55.43286125883392,124,10.667331848990216,32.148685454010774,249
0,10,5,6,3,PenaltySolver,2.1484375,45.3125,59.60722644328555,135,10.551534927979446,35.60273210502055,262
0,11,5,6,3,PenaltySolver,1.46484375,18.9453125,57.32400167241777,114,9.527102167996418,29.338696020004136,243
0,12,5,6,3,PenaltySolver,1.953125,13.18359375,149.59033165727416,96,8.626310018002187,25.30563710899696,228
0,13,5,6,3,PenaltySolver,11.1328125,31.54296875,32.202473931497934,93,6.6193982399981905,24.86594289900131,225
0,14,5,6,3,PenaltySolver,28.41796875,33.49609375,72.03501663816427,114,9.961445885992362,29.624985274007486,249
0,15,5,6,3,PenaltySolver,8.69140625,14.2578125,55.462890574579184,128,11.66915335401427,33.19910546598476,268
0,16,5,6,3,PenaltySolver,5.859375,18.1640625,63.28634975607072,98,8.42382265399283,25.374952706006297,236
0,17,5,6,3,PenaltySolver,0.1953125,36.328125,32.63395179572171,122,9.017825075005021,31.469665527994948,285
0,18,5,6,3,PenaltySolver,4.6875,15.33203125,58.040127788145334,106,8.913661366002998,27.090686199995616,342
0,19,5,6,3,PenaltySolver,4.4921875,6.25,190.46386671134033,105,10.803582038008244,25.552279684992754,344
0,20,5,6,3,PenaltySolver,10.3515625,15.13671875,55.42267395529756,100,8.652830533012093,25.13722516198868,347
0,21,5,6,3,PenaltySolver,0.1953125,2.05078125,140.44082003161836,113,9.270725837008285,27.75601149899194,368
0,22,5,6,3,PenaltySolver,2.83203125,8.69140625,54.00646029499503,113,9.92395864100763,28.560766231992602,374
0,23,5,6,3,PenaltySolver,1.3671875,6.640625,58.12320958698066,93,8.737268295009926,22.85679339799026,352
0,24,5,6,3,PenaltySolver,4.19921875,9.5703125,49.91796870462002,104,8.750714497000445,26.64996949899978,377
0,25,5,6,3,PenaltySolver,1.171875,10.44921875,68.96660149353339,103,9.45171306901102,25.484640320988547,382
0,26,5,6,3,PenaltySolver,3.02734375,30.76171875,95.31914043436171,121,9.52978984501533,30.59525576798478,419
0,27,5,6,3,PenaltySolver,0.48828125,25.78125,103.8535153653662,145,9.900489598017884,37.650155707982776,502
0,28,5,6,3,PenaltySolver,1.46484375,25.9765625,48.09472651440527,117,9.984162580003613,30.508437399996183,473
0,29,5,6,3,PenaltySolver,20.01953125,47.36328125,67.39550770017415,126,10.399552188993766,32.5451587500047,486
0,30,5,6,3,PenaltySolver,2.63671875,18.84765625,110.10136696729727,126,11.720602654007962,31.975295088992425,491
0,31,5,6,3,PenaltySolver,2.63671875,7.03125,71.9582247464353,121,10.084150004990079,31.116824191009073,502
0,32,5,6,3,PenaltySolver,5.2734375,13.28125,86.64174094765465,100,9.13885868500256,25.817903780996858,485
0,33,5,6,3,PenaltySolver,2.44140625,10.05859375,70.06711641357535,106,9.168779684989204,27.912581953010886,494
