pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,5,6,3,ChocoSolver,69.43359375,100.0,0.2839133520146242,301,1.6204253020696342,7.2001722999848425,308224
0,1,5,6,3,ChocoSolver,96.97265625,100.0,0.036458333211805555,301,1.496910497546196,7.081646159291267,308224
0,2,5,6,3,ChocoSolver,90.8203125,100.0,0.058105468677368155,301,1.765045564621687,6.1759786191396415,285696
0,3,5,6,3,ChocoSolver,98.6328125,100.0,0.015299479141167536,301,1.1302141682244837,6.613659446593374,308224
0,4,5,6,3,ChocoSolver,74.51171875,100.0,0.33021763345683197,301,1.5709245689213276,6.331194218248129,289792
0,5,5,6,3,ChocoSolver,98.92578125,100.0,0.012695312484130859,301,1.2060203049331903,6.800768060144037,307200
0,6,5,6,3,ChocoSolver,99.31640625,100.0,0.020263671824340822,301,1.4822827694006264,6.713918300811201,307200
0,7,5,6,3,ChocoSolver,94.23828125,100.0,0.04225852268885589,301,2.3494535121135414,6.970730475150049,308224
0,8,5,6,3,ChocoSolver,99.90234375,100.0,0.0029296874926757815,301,1.5486439797095954,6.4951997408643365,297984
0,9,5,6,3,ChocoSolver,94.62890625,100.0,0.047973632752532955,301,2.3191803260706365,6.961009036749601,308224
0,10,5,6,3,ChocoSolver,74.51171875,100.0,0.3611328117777344,301,1.8944255667738616,6.666005890350789,304128
0,11,5,6,3,ChocoSolver,99.4140625,100.0,0.004557291661603009,301,0.8021913869306445,6.559659752994776,306176
0,12,5,6,3,ChocoSolver,94.62890625,100.0,0.13623046840942382,301,1.5536734103225172,6.732840682379901,307200
0,13,5,6,3,ChocoSolver,77.63671875,100.0,0.05029296870808919,301,1.7774703945033252,6.57689124206081,304128
0,14,5,6,3,ChocoSolver,89.74609375,100.0,0.031808035668845665,301,1.5959547483362257,6.755168729927391,308224
0,15,5,6,3,ChocoSolver,99.609375,100.0,0.00062144886307141,301,1.16342016402632,6.754419933073223,308224
0,16,5,6,3,ChocoSolver,98.4375,100.0,0.013563368040485146,301,1.809211309067905,7.088505029678345,308224
0,17,5,6,3,ChocoSolver,98.6328125,100.0,0.006347656244710286,301,1.1474593179300427,6.824760382995009,308224
0,18,5,6,3,ChocoSolver,98.53515625,100.0,0.006835937493785511,301,1.0883915391750634,6.756769070867449,308224
