pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,5,6,3,ChocoSolver,56.4453125,100.0,0.37286931784284605,301,1.8372814203612506,6.971599022857845,291840
0,1,5,6,3,ChocoSolver,98.6328125,100.0,0.015624999947916668,301,1.683272595051676,7.385994858108461,308224
0,2,5,6,3,ChocoSolver,99.0234375,100.0,0.008300781239624022,301,1.5474178353324533,7.5699105225503445,306176
0,3,5,6,3,ChocoSolver,91.2109375,100.0,0.0919596352634006,301,1.7270241184160113,6.963680896908045,295936
0,4,5,6,3,ChocoSolver,99.4140625,100.0,0.007533482132095025,301,1.649947203695774,7.556312429253012,308224
0,5,5,6,3,ChocoSolver,96.97265625,100.0,0.034179687457275384,301,1.6993238907307386,7.445365358144045,304128
0,6,5,6,3,ChocoSolver,97.65625,100.0,0.06884765607788086,301,1.56958246557042,7.513482058420777,308224
0,7,5,6,3,ChocoSolver,97.4609375,100.0,0.02290482952463197,301,1.7630931762978435,7.48126036953181,308224
0,8,5,6,3,ChocoSolver,95.8984375,100.0,0.08105468729736329,301,1.0796299800276756,7.589563910849392,308224
0,9,5,6,3,ChocoSolver,95.8984375,100.0,0.05175781243530273,301,1.8639499214477837,7.3764557065442204,306176
0,10,5,6,3,ChocoSolver,79.98046875,100.0,0.2728515619542969,301,1.7608566274866462,7.268301401287317,308224
0,11,5,6,3,ChocoSolver,95.80078125,100.0,0.03287760413013599,301,1.4209008561447263,7.64980331575498,308224
0,12,5,6,3,ChocoSolver,73.73046875,100.0,0.6794433576763916,301,1.6773737473413348,7.559403719380498,308224
0,13,5,6,3,ChocoSolver,75.1953125,100.0,0.05029296870808919,301,1.4228846477344632,7.350303430110216,307200
0,14,5,6,3,ChocoSolver,91.9921875,100.0,0.0245535713934949,301,1.756253489293158,7.589177259709686,308224
0,15,5,6,3,ChocoSolver,95.8984375,100.0,0.005593039767642691,301,1.7552183358930051,7.693893616087735,307200
0,16,5,6,3,ChocoSolver,94.04296875,100.0,0.06065538187704957,301,1.6759402812458575,7.248657786753029,294912
0,17,5,6,3,ChocoSolver,98.92578125,100.0,0.004801432287665473,301,1.6107450341805816,7.616591156926006,308224
0,18,5,6,3,ChocoSolver,83.0078125,100.0,0.08567116469484438,301,1.443679735995829,7.50126414000988,305152
0,19,5,6,3,ChocoSolver,99.609375,100.0,0.003906249990234375,301,1.6112646562978625,7.841566103510559,308224
0,20,5,6,3,ChocoSolver,84.9609375,100.0,0.047230113593427166,301,1.226742958649993,7.350048803258687,306176
0,21,5,6,3,ChocoSolver,98.4375,100.0,0.025976562448046876,301,1.4410242568701506,7.3335869470611215,308224
0,22,5,6,3,ChocoSolver,97.16796875,100.0,0.017728365370978178,301,1.8076684405095875,7.350780406501144,308224
0,23,5,6,3,ChocoSolver,94.53125,100.0,0.033284505180596245,301,1.7062990912236273,7.233182949945331,304128
0,24,5,6,3,ChocoSolver,86.42578125,100.0,0.014470880668662835,301,1.808368552941829,7.728968086186796,306176
0,25,5,6,3,ChocoSolver,87.79296875,100.0,0.01669921873330078,301,1.7777884579263628,7.2854051580652595,308224
0,26,5,6,3,ChocoSolver,79.19921875,100.0,0.22187499955625,301,1.8835043064318597,7.612323822453618,308224
0,27,5,6,3,ChocoSolver,92.3828125,100.0,0.02050781244873047,301,1.772161069791764,7.640550644136965,307200
0,28,5,6,3,ChocoSolver,77.5390625,100.0,0.12753906237246093,301,1.7717558103613555,7.481713830493391,299008
0,29,5,6,3,ChocoSolver,91.89453125,100.0,0.0935872394273546,301,1.5691938940435648,6.957552829757333,289792
0,30,5,6,3,ChocoSolver,98.14453125,100.0,0.023242187453515625,301,1.8240391472354531,7.49024746613577,306176
0,31,5,6,3,ChocoSolver,72.4609375,100.0,0.06944444436728395,301,1.8114512986503541,7.613909587264061,308224
0,32,5,6,3,ChocoSolver,98.33984375,100.0,0.015904017834422832,301,2.0601948695257306,7.64698287518695,308224
0,33,5,6,3,ChocoSolver,88.0859375,100.0,0.025568181794938014,301,1.9701219908893108,7.377902267035097,308224
0,34,5,6,3,ChocoSolver,21.6796875,100.0,0.13260323651242625,301,1.873358914628625,7.475022258237004,308224
0,35,5,6,3,ChocoSolver,95.01953125,100.0,0.011858258911631059,301,1.8472743490710855,7.465102286078036,308224
0,36,5,6,3,ChocoSolver,98.4375,100.0,0.004340277772955247,301,1.4627035525627434,7.327850625384599,297984
0,37,5,6,3,ChocoSolver,86.23046875,100.0,0.0578124999421875,301,1.662640301976353,7.113752022385597,280576
0,38,5,6,3,ChocoSolver,100.0,100.0,0.0,301,1.437617656774819,7.558124388568103,308224
0,39,5,6,3,ChocoSolver,88.57421875,100.0,0.13434709802236128,301,1.132446272764355,7.397488673217595,308224
0,40,5,6,3,ChocoSolver,97.36328125,100.0,0.016479492166900634,301,1.1063391179777682,7.444672719109803,307200
0,41,5,6,3,ChocoSolver,91.89453125,100.0,0.05332031244667968,301,1.802352868951857,7.357851142063737,305152
0,42,5,6,3,ChocoSolver,98.4375,100.0,0.05053710924865723,301,0.9580064509063959,7.421036897227168,308224
0,43,5,6,3,ChocoSolver,67.48046875,100.0,0.41031900973280167,301,1.6508069792762399,7.502814400009811,296960
0,44,5,6,3,ChocoSolver,96.6796875,100.0,0.014160156232299803,301,0.9590075141750276,7.410906680859625,307200
0,45,5,6,3,ChocoSolver,99.31640625,100.0,0.024414062438964844,301,1.6360774566419423,7.662311888299882,306176
0,46,5,6,3,ChocoSolver,99.12109375,100.0,0.004657451919494267,301,1.927915817592293,7.616836151108146,308224
0,47,5,6,3,ChocoSolver,85.15625,100.0,0.19596354134006078,301,1.8285802216269076,7.569571944419295,305152
0,48,5,6,3,ChocoSolver,95.60546875,100.0,0.03134765621865234,301,1.3088099136948586,7.654356266371906,308224
0,49,5,6,3,ChocoSolver,89.16015625,100.0,0.13978794622887436,301,1.8015060378238559,7.635870730038732,308224
0,50,5,6,3,ChocoSolver,87.59765625,100.0,0.19238281185872397,301,1.7190241003409028,7.697534787002951,308224
0,51,5,6,3,ChocoSolver,81.8359375,100.0,0.3463541660894097,301,1.6874226033687592,7.568721163552254,299008
0,52,5,6,3,ChocoSolver,98.2421875,100.0,0.008789062494506835,301,1.7888787165284157,7.470038655214012,307200
0,53,5,6,3,ChocoSolver,98.53515625,100.0,0.015869140585327148,301,1.201897706836462,7.63575061224401,301056
0,54,5,6,3,ChocoSolver,96.2890625,100.0,0.031127929648590083,301,1.825417217798531,7.503133751451969,308224
0,55,5,6,3,ChocoSolver,57.12890625,100.0,0.1219075519817437,301,1.746011670678854,6.8420310714282095,278528
