pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.70703125,100.0,0.0023970170432754388,44,0.29841036861762404,7.311388113535941,138240
0,1,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.90234375,100.0,0.0016276041612413195,48,0.3859469457529485,7.420584626030177,150528
0,2,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.51171875,100.0,0.0029296874963378903,46,0.39518888061866164,7.702922603115439,144384
0,3,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.90234375,100.0,0.0009765624983723958,47,0.34609006717801094,6.697360326536,147456
0,4,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.31640625,100.0,0.009347098200932717,42,0.31172169791534543,7.023431257810444,132096
0,5,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.8046875,100.0,0.002441406246948242,41,0.32771386532112956,5.816859857644886,129024
0,6,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,100.0,100.0,0.0,40,0.2683945633471012,5.924458600115031,125952
0,7,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.90234375,100.0,0.0005326704540612086,39,0.3049030192196369,5.888825103640556,122880
0,8,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,98.2421875,100.0,0.02197265619506836,40,0.24687939090654254,4.894987539388239,125952
0,9,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.8046875,100.0,0.0017089843728637694,40,0.32094255229458213,6.240081734023988,125952
0,10,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,100.0,100.0,0.0,35,0.2556114732287824,4.90787089895457,110592
0,11,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.70703125,100.0,0.0022786458308015046,44,0.3271368918940425,7.203257747925818,138240
0,12,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,100.0,100.0,0.0,46,0.4110605241730809,7.622814719099551,144384
0,13,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.8046875,100.0,0.00032552083306206593,39,0.38233502488583326,6.4751508119516075,122880
0,14,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,100.0,100.0,0.0,37,0.229978590272367,5.020594005938619,116736
0,15,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.90234375,100.0,0.00035511363604080574,49,0.3170603378675878,8.046985764987767,153600
0,16,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.609375,100.0,0.0030381944410686726,42,0.350361455231905,6.523560320958495,132096
0,17,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,98.14453125,100.0,0.01114908853237576,46,0.4533155979588628,8.581733505707234,144384
0,18,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,100.0,100.0,0.0,44,0.34915364626795053,7.427210935391486,138240
0,19,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.70703125,100.0,0.0029296874926757815,43,0.3403606475330889,6.588622803334147,135168
0,20,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,100.0,100.0,0.0,41,0.3218695903196931,6.666928249876946,129024
0,21,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.70703125,100.0,0.0039062499921875002,43,0.2838837201707065,6.931777742691338,135168
0,22,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,100.0,100.0,0.0,35,0.22073075640946627,5.2045471128076315,110592
0,23,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.90234375,100.0,0.0008138020826551649,42,0.34660986764356494,7.059265126474202,132096
0,24,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.90234375,100.0,8.877840901020144e-05,41,0.3165720752440393,6.071729900781065,129024
0,25,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,100.0,100.0,0.0,32,0.2790134372189641,4.541264021769166,101376
0,26,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.90234375,100.0,0.0007812499984375,43,0.3187777530401945,6.137999422848225,135168
0,27,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.90234375,100.0,0.00024414062438964844,38,0.3495773090980947,6.198893784545362,119808
0,28,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.90234375,100.0,0.0008789062491210937,42,0.28671786608174443,6.56263595726341,132096
0,29,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.90234375,100.0,0.0008138020819769966,46,0.3394702593795955,6.696705583017319,144384
0,30,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,100.0,100.0,0.0,39,0.33605200285091996,6.126347933895886,122880
0,31,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,97.8515625,100.0,0.0047743055502507716,44,0.3088324489071965,7.927220327779651,138240
0,32,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,100.0,100.0,0.0,45,0.3586684614419937,6.7962767435237765,141312
0,33,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,100.0,100.0,0.0,43,0.2692920286208391,6.664529119618237,135168
0,34,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,100.0,100.0,0.0,43,0.3376225484535098,6.636167284566909,135168
0,35,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.51171875,100.0,0.0006975446418606505,50,0.41100350581109524,8.27931814501062,156672
0,36,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,100.0,100.0,0.0,37,0.2748698005452752,5.734682198148221,116736
0,37,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.8046875,100.0,0.00078124999921875,45,0.38430023984983563,7.371821083128452,141312
0,38,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.90234375,100.0,0.00035511363604080574,38,0.280950341373682,6.992927016690373,119808
0,39,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,100.0,100.0,0.0,32,0.23180694412440062,4.865412457846105,101376
0,40,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.12109375,100.0,0.005859374992675781,39,0.28601669846102595,7.04676004126668,122880
0,41,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.70703125,100.0,0.0020507812479492187,40,0.3300863918848336,6.337275038938969,125952
0,42,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.21875,100.0,0.01733398433166504,45,0.38538123620674014,7.641425562556833,141312
0,43,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.4140625,100.0,0.004882812491861979,46,0.37200872134417295,7.517065862659365,144384
0,44,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,100.0,100.0,0.0,36,0.29672739328816533,5.645305583719164,113664
0,45,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.4140625,100.0,0.011718749970703126,41,0.33192182425409555,5.549453664571047,129024
0,46,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,100.0,100.0,0.0,36,0.2849250864237547,5.51269938563928,113664
0,47,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,100.0,100.0,0.0,37,0.24561070231720805,5.8158470266498625,116736
0,48,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,100.0,100.0,0.0,39,0.3633615942671895,7.137876381631941,122880
0,49,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.90234375,100.0,0.0008370535702327806,41,0.2575846556574106,6.2825808194465935,129024
0,50,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,97.0703125,100.0,0.029296874902343752,38,0.24943640502169728,5.748076794203371,119808
0,51,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.70703125,100.0,0.0043945312426757815,42,0.2659893515519798,6.790809760335833,132096
0,52,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.90234375,100.0,0.0004882812496948242,39,0.3373718233779073,6.882691143546253,122880
0,53,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,100.0,100.0,0.0,38,0.2582728764973581,6.289763420354575,119808
0,54,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.8046875,100.0,0.002197265622253418,34,0.2861934658139944,5.283588940277696,107520
0,55,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.12109375,100.0,0.0007324218743896484,45,0.31615543039515615,7.958512797486037,141312
0,56,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,98.92578125,100.0,0.0015775240372480584,48,0.33103720005601645,8.003679098095745,150528
0,57,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.90234375,100.0,0.0003255208327907986,29,0.21021543443202972,4.4966116906143725,92160
0,58,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.8046875,100.0,0.002232142853954082,40,0.29461895301938057,6.717142093926668,125952
0,59,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,100.0,100.0,0.0,31,0.2297637965530157,4.904632522724569,98304
0,60,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,100.0,100.0,0.0,37,0.3139836937189102,5.941497315187007,116736
0,61,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.90234375,100.0,0.0008877840901020144,44,0.2887125937268138,7.385890424251556,138240
0,62,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,100.0,100.0,0.0,43,0.33139636972919106,6.9603763544000685,135168
0,63,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.51171875,100.0,0.00937499998125,44,0.33171834284439683,7.5339608788490295,138240
0,64,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.90234375,100.0,0.0014648437463378908,41,0.29719528183341026,4.894033746328205,129024
0,65,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.70703125,100.0,0.003906249994419643,37,0.24050268018618226,4.77288683783263,116736
0,66,5,6,3,QtoSimplifyDiscardSegmentedCustomSolver,99.8046875,100.0,0.002604166662326389,43,0.28255737852305174,5.026793822646141,135168
