pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,1,6,3,ChocoSolver,100.0,100.0,0.0,24,0.053278069011867046,1.369314068928361,25600
0,1,1,6,3,ChocoSolver,100.0,100.0,0.0,22,0.05513170128688216,1.3309375420212746,23552
0,2,1,6,3,ChocoSolver,100.0,100.0,0.0,23,0.05778063694015145,1.3661451390944421,24576
0,3,1,6,3,ChocoSolver,99.51171875,100.0,0.005045572908257379,26,0.0561027554795146,1.5768629224039614,27648
0,4,1,6,3,ChocoSolver,100.0,100.0,0.0,23,0.08758066175505519,1.6715638972818851,24576
0,5,1,6,3,ChocoSolver,0.68359375,100.0,0.5017089837478638,29,0.08732757158577442,1.8815888306125998,30720
0,6,1,6,3,ChocoSolver,20.99609375,100.0,1.8845214796636964,28,0.09719048487022519,1.5431611868552864,29696
0,7,1,6,3,ChocoSolver,26.171875,100.0,0.5401278404180656,27,0.07991743320599198,1.7343778237700462,28672
0,8,1,6,3,ChocoSolver,100.0,100.0,0.0,26,0.0651911748573184,1.676822784356773,27648
0,9,1,6,3,ChocoSolver,0.68359375,100.0,0.632446288271942,29,0.14578790124505758,2.1406634808517992,30720
0,10,1,6,3,ChocoSolver,0.390625,100.0,0.9992187480015625,30,0.08422623667865992,1.936903721652925,31744
0,11,1,6,3,ChocoSolver,2.24609375,100.0,0.5526258674415268,27,0.11343253450468183,1.938852964900434,28672
0,12,1,6,3,ChocoSolver,99.8046875,100.0,0.005371093736572265,28,0.06067522941157222,1.819935901556164,29696
0,13,1,6,3,ChocoSolver,0.29296875,100.0,0.16748046861043292,29,0.07752237329259515,1.9231987078674138,30720
0,14,1,6,3,ChocoSolver,99.8046875,100.0,0.0005580357134885205,29,0.09236055007204413,1.7272378541529179,30720
0,15,1,6,3,ChocoSolver,2.63671875,100.0,0.0918856533255585,28,0.11050134710967541,1.6727146031334996,29696
0,16,1,6,3,ChocoSolver,99.70703125,100.0,0.0023871527751253858,30,0.0872019580565393,1.8063694718293846,31744
0,17,1,6,3,ChocoSolver,99.8046875,100.0,0.0016276041653103298,23,0.06978470925241709,1.555837639607489,24576
0,18,1,6,3,ChocoSolver,22.8515625,100.0,0.3990589485008555,37,0.12668090546503663,2.543995964806527,38912
0,19,1,6,3,ChocoSolver,0.29296875,100.0,1.0024414037438965,29,0.08749772934243083,2.357680200599134,30720
0,20,1,6,3,ChocoSolver,0.9765625,100.0,0.2725497156613184,30,0.1046185102313757,2.1510768816806376,31744
0,21,1,6,3,ChocoSolver,22.4609375,100.0,1.0884765603230468,32,0.11956039257347584,2.3280475474894047,33792
0,22,1,6,3,ChocoSolver,11.62109375,100.0,0.5092397832621232,33,0.13354274816811085,2.2194785098545253,34816
0,23,1,6,3,ChocoSolver,0.9765625,100.0,0.24959309875033905,31,0.1437539686448872,2.258382719475776,32768
0,24,1,6,3,ChocoSolver,100.0,100.0,0.0,20,0.05534984078258276,1.350674394518137,21504
0,25,1,6,3,ChocoSolver,100.0,100.0,0.0,24,0.06540441047400236,1.7093990803696215,25600
0,26,1,6,3,ChocoSolver,100.0,100.0,0.0,25,0.09344764659181237,1.599706968292594,26624
0,27,1,6,3,ChocoSolver,0.87890625,100.0,0.249999999375,30,0.08439034735783935,2.432438631542027,31744
0,28,1,6,3,ChocoSolver,99.90234375,100.0,0.0004882812495117187,32,0.08140445547178388,2.323483736254275,33792
0,29,1,6,3,ChocoSolver,100.0,100.0,0.0,25,0.07412850204855204,2.179254027083516,26624
0,30,1,6,3,ChocoSolver,12.40234375,100.0,1.0017578104964844,33,0.17370125045999885,2.299355565570295,34816
0,31,1,6,3,ChocoSolver,0.1953125,100.0,0.22330729141854744,29,0.12411366915330291,2.0331778028048575,30720
0,32,1,6,3,ChocoSolver,3.3203125,100.0,0.8487723202160395,28,0.1254121959209442,2.016748117748648,29696
0,33,1,6,3,ChocoSolver,100.0,100.0,0.0,25,0.06424016552045941,1.9340975666418672,26624
0,34,1,6,3,ChocoSolver,100.0,100.0,0.0,23,0.08588647050783038,1.687863473314792,24576
