pkid,pbid,layers,variables,constraints,method,num_segments,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,84.47265625,100.0,0.07194010411870659,301,25.1274058339186,19.33814939390868,308224
0,1,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,7.03125,100.0,0.15501302072999132,301,23.411595562007278,19.345240633934736,308224
0,2,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,0,100.0,0.3585205075884247,301,27.43617242621258,23.635398745536804,308224
0,3,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,86.42578125,100.0,0.06192555143416144,301,28.4498554719612,22.84975214768201,308224
0,4,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,93.359375,100.0,0.06738281244816706,301,32.494266325607896,26.894699837546796,308224
0,5,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,20.99609375,100.0,0.2064732141873937,301,32.68850128352642,26.269791989121586,308224
0,6,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,0,100.0,0.08798828120600585,301,24.994661842938513,18.845794220920652,308224
0,7,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,0.29296875,100.0,0.07165527340764363,301,24.140822684857994,20.604494886938483,308224
0,8,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,0.29296875,100.0,0.1541426808399249,301,31.38202970661223,24.91596677340567,308224
0,9,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,57.6171875,100.0,0.14693509604081914,301,30.282704394310713,20.87957052467391,308224
0,10,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,64.16015625,100.0,0.07526041661649305,301,34.326315998099744,28.745142855215818,308224
0,11,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,68.84765625,100.0,0.041720920115710595,301,29.84917778801173,23.597820530179888,308224
0,12,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,95.01953125,100.0,0.05932617182556152,301,27.856583567801863,25.197021489497274,308224
0,13,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,91.6015625,100.0,0.04746093747626953,301,32.509242120198905,24.85343808820471,308224
0,14,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,91.30859375,100.0,0.04687499996875,301,28.38655062345788,25.029136282857507,308224
0,15,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,18.75,100.0,0.16395970386107384,301,33.28196799289435,26.190012455452234,308224
0,16,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,0,100.0,0.3109537757825385,301,32.18103298638016,24.25349306035787,308224
0,17,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,0.87890625,100.0,0.1074732729697509,301,22.834797501098365,21.228476961143315,308224
0,18,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,12.59765625,100.0,0.17099144337095645,301,28.83214550372213,24.12768085906282,308224
0,19,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,95.703125,100.0,0.015969669108253134,301,26.58689677529037,24.901241964660585,308224
0,20,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,95.60546875,100.0,0.0365349264490971,301,30.936016188003123,25.26709294784814,308224
0,21,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,85.44921875,100.0,0.04432091342744545,301,26.654977936297655,24.469349433667958,308224
0,22,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,86.81640625,100.0,0.1703725960227903,301,28.063770262524486,22.548997722566128,308224
0,23,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,85.05859375,100.0,0.061328124969335936,301,32.858133354689926,26.973959198221564,308224
0,24,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,81.73828125,100.0,0.10131835932434081,301,33.27556529501453,26.890234862919897,308224
0,25,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,92.96875,100.0,0.025695800765190124,301,27.343582133296877,20.753639857750386,308224
0,26,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,91.69921875,100.0,0.08398437491601562,301,28.500869447831064,25.23646870115772,308224
0,27,5,21,12,QtoSimplifyDiscardSegmentedCustomSolver,1,55.46875,100.0,0.2310655380660747,301,32.8906965367496,24.545746337156743,308224
