pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,5,6,3,ChocoSolver,96.58203125,100.0,0.039151278373498834,301,1.4789447323419154,34.28384417062625,308224
0,1,5,6,3,ChocoSolver,88.4765625,100.0,0.14973958283420138,301,1.6002283305861056,31.25411338172853,280576
0,2,5,6,3,ChocoSolver,100.0,100.0,0.0,301,1.5797400837764144,34.69074502727017,308224
0,3,5,6,3,ChocoSolver,99.4140625,100.0,0.00716145832139757,301,1.247048038057983,33.0794130358845,300032
0,4,5,6,3,ChocoSolver,84.5703125,100.0,0.1914062497265625,301,1.473528963048011,34.022320040967315,308224
0,5,5,6,3,ChocoSolver,100.0,100.0,0.0,301,1.1242861663922668,33.673338351771235,308224
0,6,5,6,3,ChocoSolver,95.8984375,100.0,0.10473632786315919,301,1.428447937592864,33.633489223662764,308224
0,7,5,6,3,ChocoSolver,96.2890625,100.0,0.022105823843540158,301,1.6775500369258225,34.437674664892256,308224
0,8,5,6,3,ChocoSolver,98.046875,100.0,0.05712890610717774,301,1.2645540148951113,32.409634474199265,296960
0,9,5,6,3,ChocoSolver,98.73046875,100.0,0.00988769530014038,301,1.3218373316340148,34.27555325906724,307200
0,10,5,6,3,ChocoSolver,79.296875,100.0,0.3429687493140625,301,1.719348221551627,33.42083917465061,302080
0,11,5,6,3,ChocoSolver,94.43359375,100.0,0.05154079855384355,301,1.4207629803568125,33.58262051269412,303104
0,12,5,6,3,ChocoSolver,95.60546875,100.0,0.11425781221435548,301,1.3655567476525903,33.75436487328261,301056
0,13,5,6,3,ChocoSolver,95.3125,100.0,0.008951822909206814,301,1.389792937785387,34.12626463221386,308224
0,14,5,6,3,ChocoSolver,99.70703125,100.0,0.0008370535702327806,301,1.0489344894886017,32.93366316566244,303104
0,15,5,6,3,ChocoSolver,97.8515625,100.0,0.0037286931784284603,301,1.4363937806338072,34.37267808942124,308224
0,16,5,6,3,ChocoSolver,98.2421875,100.0,0.015082465261019482,301,1.5056019271723926,33.88426273455843,308224
0,17,5,6,3,ChocoSolver,97.75390625,100.0,0.012369791656358506,301,1.2805348965339363,33.455731694586575,308224
0,18,5,6,3,ChocoSolver,96.58203125,100.0,0.018732244301152504,301,1.668059716001153,34.39240535814315,306176
0,19,5,6,3,ChocoSolver,87.5,100.0,0.24658203063354492,301,1.530307209584862,34.08996836328879,307200
0,20,5,6,3,ChocoSolver,97.8515625,100.0,0.009410511355081353,301,1.5145685733295977,34.184231262654066,307200
0,21,5,6,3,ChocoSolver,99.12109375,100.0,0.012304687475390624,301,1.2982341265305877,33.581402842421085,308224
0,22,5,6,3,ChocoSolver,95.80078125,100.0,0.025766225941718287,301,1.3999756867997348,32.82352952333167,302080
0,23,5,6,3,ChocoSolver,92.08984375,100.0,0.04418945308817545,301,1.5147736296057701,32.39223732659593,291840
0,24,5,6,3,ChocoSolver,79.1015625,100.0,0.022727272706611568,301,1.5704414979554713,34.01968745095655,308224
0,25,5,6,3,ChocoSolver,99.90234375,100.0,0.0002929687497070312,301,1.645907555706799,34.28910163231194,306176
0,26,5,6,3,ChocoSolver,92.48046875,100.0,0.09687499980625,301,1.7101153703406453,33.86190913571045,307200
0,27,5,6,3,ChocoSolver,98.828125,100.0,0.0029296874926757815,301,1.3522919961251318,33.899113395251334,308224
0,28,5,6,3,ChocoSolver,94.3359375,100.0,0.033007812466992185,301,1.5907059656456113,33.38501599151641,308224
0,29,5,6,3,ChocoSolver,96.77734375,100.0,0.041503906180826826,301,1.6726872841827571,33.49476475501433,308224
0,30,5,6,3,ChocoSolver,99.21875,100.0,0.00937499998125,301,1.6360310399904847,33.99769887002185,308224
0,31,5,6,3,ChocoSolver,94.82421875,100.0,0.01757812498046875,301,1.7522166124545038,34.21614692127332,308224
0,32,5,6,3,ChocoSolver,99.90234375,100.0,0.0016741071404655613,301,1.466246911790222,33.35235840221867,306176
0,33,5,6,3,ChocoSolver,72.75390625,100.0,0.06471946016843685,301,1.5857587680220604,33.373531623743474,306176
0,34,5,6,3,ChocoSolver,29.1015625,100.0,0.10986328117152622,301,1.5378926387056708,33.63292657956481,306176
0,35,5,6,3,ChocoSolver,95.01953125,100.0,0.015485491049306441,301,1.7787582939490676,34.0376520822756,308224
0,36,5,6,3,ChocoSolver,76.46484375,100.0,0.05230034716411072,301,1.5888615469448268,33.85791346011683,308224
0,37,5,6,3,ChocoSolver,96.77734375,100.0,0.014843749985156248,301,1.7347886255010962,33.666727516334504,306176
0,38,5,6,3,ChocoSolver,99.0234375,100.0,0.005326704540612086,301,1.3721474707126617,33.15723053831607,306176
0,39,5,6,3,ChocoSolver,97.94921875,100.0,0.029715401743263713,301,1.3083485467359424,33.372794738505036,308224
0,40,5,6,3,ChocoSolver,85.64453125,100.0,0.10156249987304687,301,1.5631945598870516,34.34441770333797,308224
0,41,5,6,3,ChocoSolver,90.13671875,100.0,0.06552734368447265,301,1.694443749729544,33.72037870017812,308224
0,42,5,6,3,ChocoSolver,93.65234375,100.0,0.13330078091674805,301,1.4780212230980396,31.800203628838062,286720
0,43,5,6,3,ChocoSolver,65.8203125,100.0,0.4241536451264106,301,1.5305694765411317,32.2975114043802,291840
0,44,5,6,3,ChocoSolver,95.01953125,100.0,0.01977539060028076,301,1.5521016009151936,33.79780627088621,304128
0,45,5,6,3,ChocoSolver,98.14453125,100.0,0.044921874887695314,301,1.5691657280549407,34.12513932492584,308224
0,46,5,6,3,ChocoSolver,95.01953125,100.0,0.034855769203957096,301,1.4319143313914537,33.262569004669785,302080
0,47,5,6,3,ChocoSolver,95.21484375,100.0,0.05826822906955295,301,1.622238126117736,34.12314312951639,308224
0,48,5,6,3,ChocoSolver,99.90234375,100.0,0.00078124999921875,301,1.2382334815338254,33.542447734158486,308224
0,49,5,6,3,ChocoSolver,98.14453125,100.0,0.02566964282047194,301,1.8417917061597109,34.31361745344475,308224
0,50,5,6,3,ChocoSolver,86.03515625,100.0,0.14615885367947049,301,1.5676642232574522,33.64711940661073,306176
0,51,5,6,3,ChocoSolver,93.359375,100.0,0.12272135396213107,301,1.158349852077663,32.73806225601584,296960
0,52,5,6,3,ChocoSolver,99.609375,100.0,0.0019531249987792968,301,1.0610611434094608,32.90217245835811,297984
0,53,5,6,3,ChocoSolver,98.92578125,100.0,0.011718749970703126,301,1.3577183331362903,33.38399774953723,300032
0,54,5,6,3,ChocoSolver,86.03515625,100.0,0.09326171863342284,301,1.1177540784701705,34.020026535727084,308224
0,55,5,6,3,ChocoSolver,80.56640625,100.0,0.024495442687920463,301,0.9954837090335786,33.830549087841064,307200
0,56,5,6,3,ChocoSolver,97.94921875,100.0,0.003155048074496117,301,1.0126913357526064,33.53251967206597,308224
0,57,5,6,3,ChocoSolver,86.81640625,100.0,0.07682291653862848,301,1.049992577638477,33.57255836343393,307200
0,58,5,6,3,ChocoSolver,99.21875,100.0,0.010602678556281888,301,1.065086237154901,34.04635799117386,308224
0,59,5,6,3,ChocoSolver,96.09375,100.0,0.008870442700941297,301,0.9660385167226195,33.07430940121412,305152
0,60,5,6,3,ChocoSolver,98.828125,100.0,0.012695312485894096,301,0.9722580364905298,32.884416109416634,303104
0,61,5,6,3,ChocoSolver,55.56640625,100.0,0.17977627824565792,301,1.0833785138092935,33.79180160025135,306176
0,62,5,6,3,ChocoSolver,99.51171875,100.0,0.003472222218364197,301,0.9007222596555948,33.90616090642288,308224
0,63,5,6,3,ChocoSolver,86.23046875,100.0,0.1945312496109375,301,1.2406245884485543,34.02946670446545,306176
