pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,5,6,3,ChocoSolver,5.76171875,81.54296875,4.976828830702883,101,1.0609337943606079,48.60883283894509,104448
0,1,5,6,3,ChocoSolver,22.8515625,83.10546875,17.263671817454426,93,0.9427891080267727,41.902770535089076,96256
0,2,5,6,3,ChocoSolver,22.16796875,79.78515625,7.795043935568694,96,1.0987065294757485,46.2849677936174,99328
0,3,5,6,3,ChocoSolver,26.07421875,86.42578125,6.964843738391927,98,0.9914267547428608,46.54948869999498,101376
0,4,5,6,3,ChocoSolver,36.9140625,90.13671875,4.659737716557518,101,0.8924351916648448,48.05539977736771,104448
0,5,5,6,3,ChocoSolver,25.390625,85.44921875,5.9062499926171865,81,0.768995420075953,38.00455412780866,83968
0,6,5,6,3,ChocoSolver,33.10546875,88.671875,9.749999975625,84,0.9555942504666746,41.04335597064346,87040
0,7,5,6,3,ChocoSolver,7.2265625,80.6640625,5.453746443905684,86,0.8804403496906161,40.57924160035327,89088
0,8,5,6,3,ChocoSolver,12.98828125,85.05859375,11.55590817423523,111,0.993531119544059,51.40909249847755,114688
0,9,5,6,3,ChocoSolver,26.85546875,81.54296875,7.484741201581572,90,1.000052634626627,42.640302781481296,93184
0,10,5,6,3,ChocoSolver,27.734375,81.4453125,12.053906225892188,84,0.9544224073179066,39.73711037682369,87040
0,11,5,6,3,ChocoSolver,18.06640625,84.9609375,5.190972216454475,101,0.9869607039727271,46.73317748773843,104448
0,12,5,6,3,ChocoSolver,51.171875,83.88671875,12.535888640535278,94,0.9386348491534591,43.12561830226332,97280
0,13,5,6,3,ChocoSolver,26.26953125,79.19921875,5.347493485127089,90,0.9596704207360744,42.88664651522413,93184
0,14,5,6,3,ChocoSolver,9.86328125,84.1796875,6.374720973036113,98,1.0412841304205358,46.427321187220514,101376
0,15,5,6,3,ChocoSolver,28.02734375,81.73828125,4.826793319475642,84,0.8599673006683588,40.495638775173575,87040
0,16,5,6,3,ChocoSolver,5.46875,86.03515625,4.901367182054036,94,0.848992417100817,43.945411309599876,97280
0,17,5,6,3,ChocoSolver,30.859375,80.2734375,5.186523433177896,85,1.0402013682760298,39.235072302632034,88064
0,18,5,6,3,ChocoSolver,31.34765625,83.3984375,5.490589483644918,81,0.8813113947398961,37.25573122128844,83968
0,19,5,6,3,ChocoSolver,33.3984375,81.640625,14.292968714267579,92,0.8447959236800671,42.639083423186094,95232
0,20,5,6,3,ChocoSolver,39.16015625,83.30078125,4.3609730073991155,88,0.884375608060509,40.0285418368876,91136
0,21,5,6,3,ChocoSolver,31.73828125,89.94140625,7.035742173428516,111,0.9188880398869514,54.92767881928012,114688
0,22,5,6,3,ChocoSolver,13.28125,82.51953125,4.068209131485992,83,0.8891097172163427,39.48089278303087,86016
0,23,5,6,3,ChocoSolver,32.51953125,83.59375,3.834065752013278,90,1.009758546948433,43.170823152177036,93184
0,24,5,6,3,ChocoSolver,24.609375,83.0078125,4.661843035534687,97,1.0473167654126883,48.14132867846638,100352
0,25,5,6,3,ChocoSolver,24.31640625,83.7890625,4.866894526383105,89,0.9459125623106956,41.72619215538725,92160
0,26,5,6,3,ChocoSolver,29.6875,81.0546875,11.234960915030078,84,1.0409292448312044,40.60592458117753,87040
0,27,5,6,3,ChocoSolver,20.60546875,88.28125,9.634033179039918,101,0.8853184897452593,48.7875694562681,104448
0,28,5,6,3,ChocoSolver,21.38671875,77.83203125,7.022460930477538,82,0.8783242362551391,39.2447572206147,84992
0,29,5,6,3,ChocoSolver,24.51171875,81.15234375,10.374511701459147,92,1.048318123910576,44.27329318923876,95232
0,30,5,6,3,ChocoSolver,39.84375,85.44921875,8.838281232323437,99,0.988759480882436,48.5318461349234,102400
0,31,5,6,3,ChocoSolver,34.86328125,85.64453125,5.003689230551456,83,0.9272127570584416,41.15931443590671,86016
0,32,5,6,3,ChocoSolver,26.5625,80.17578125,9.502929673924386,81,0.9111806871369481,38.05319128651172,83968
0,33,5,6,3,ChocoSolver,26.66015625,87.109375,3.4756747127493863,90,0.9092944981530309,42.53028741572052,93184
0,34,5,6,3,ChocoSolver,15.33203125,83.49609375,3.211146761099181,88,1.1212659548036754,40.19677529344335,91136
0,35,5,6,3,ChocoSolver,24.0234375,87.01171875,5.7028459739959345,104,0.9213689593598247,47.789852207526565,107520
0,36,5,6,3,ChocoSolver,49.0234375,81.34765625,5.740451382510609,89,0.8390976157970726,41.92240528995171,92160
0,37,5,6,3,ChocoSolver,29.8828125,88.28125,4.032617183467383,97,1.007494302932173,45.36064252303913,100352
0,38,5,6,3,ChocoSolver,43.1640625,89.16015625,3.0812322415170614,109,1.0578059717081487,51.38500871229917,112640
0,39,5,6,3,ChocoSolver,28.90625,82.91015625,7.694196417579719,104,0.8571338793262839,49.8528151884675,107520
0,40,5,6,3,ChocoSolver,30.859375,86.23046875,5.3231201105335995,111,0.9606813821010292,50.28373287990689,114688
0,41,5,6,3,ChocoSolver,25.29296875,83.69140625,5.13085936986914,97,0.8395634614862502,46.713050071615726,100352
0,42,5,6,3,ChocoSolver,45.1171875,87.3046875,10.91625973833435,86,0.8494163644500077,42.301652169786394,89088
0,43,5,6,3,ChocoSolver,10.3515625,87.79296875,6.847167957338053,98,0.9925935161300004,44.94654437806457,101376
0,44,5,6,3,ChocoSolver,16.2109375,85.7421875,5.4829101493963615,96,1.0179689177311957,45.966340399347246,99328
0,45,5,6,3,ChocoSolver,26.07421875,81.0546875,14.356201135984497,81,0.9111754335463047,37.81734523968771,83968
0,46,5,6,3,ChocoSolver,10.64453125,84.86328125,3.8882211508552142,111,1.099463714286685,52.63729007169604,114688
0,47,5,6,3,ChocoSolver,15.234375,84.5703125,7.664388008059354,94,1.0421751025132835,45.18814652552828,97280
0,48,5,6,3,ChocoSolver,41.6015625,85.3515625,4.089257808410742,115,0.961243252735585,54.886377844493836,118784
0,49,5,6,3,ChocoSolver,41.6015625,84.08203125,7.140206463013991,95,1.0385007406584918,46.39688364509493,98304
0,0,5,6,3,ChocoSegmentedSolver,24.0234375,87.59765625,4.5409268424627935,102,93.45670876186341,144.5019011683762,1054720
0,1,5,6,3,ChocoSegmentedSolver,21.97265625,90.8203125,10.417968715273437,113,80.253297557123,126.06652951193973,1167360
0,2,5,6,3,ChocoSegmentedSolver,23.14453125,87.5,5.356445305804443,99,82.31944233272225,126.33008177950978,1024000
0,3,5,6,3,ChocoSegmentedSolver,24.31640625,87.98828125,7.071451811130914,99,80.19828410446644,123.87735642492771,1024000
0,4,5,6,3,ChocoSegmentedSolver,23.73046875,92.1875,5.171456465826491,96,77.27773445518687,123.19310080306605,993280
0,5,5,6,3,ChocoSegmentedSolver,31.640625,83.30078125,8.587402333015746,85,71.67170541500673,111.98787374701351,880640
0,6,5,6,3,ChocoSegmentedSolver,23.2421875,93.06640625,8.144042948389894,106,84.5506926253438,146.07402082160115,1095680
0,7,5,6,3,ChocoSegmentedSolver,25.1953125,95.8984375,1.7705078108904473,114,85.46203539334238,136.08694920782,1177600
0,8,5,6,3,ChocoSegmentedSolver,9.5703125,81.93359375,19.8066405754834,97,76.76513113640249,118.83351204264909,1003520
0,9,5,6,3,ChocoSegmentedSolver,19.43359375,87.98828125,5.297119134003601,109,99.94990039942786,145.34644363913685,1126400
0,10,5,6,3,ChocoSegmentedSolver,43.26171875,79.58984375,16.129687467740624,82,73.24770954158157,117.87255007820204,849920
0,11,5,6,3,ChocoSegmentedSolver,21.2890625,90.13671875,4.1621093703754335,100,81.49133702227846,127.49243434658274,1034240
0,12,5,6,3,ChocoSegmentedSolver,23.828125,88.96484375,13.079345670426637,96,75.01508948300034,111.66330664930865,993280
0,13,5,6,3,ChocoSegmentedSolver,24.12109375,90.72265625,2.818684893484429,93,77.89748313743621,122.18596154963598,962560
0,14,5,6,3,ChocoSegmentedSolver,21.58203125,86.9140625,6.445312490792411,93,78.47161211119965,120.9614557097666,962560
0,15,5,6,3,ChocoSegmentedSolver,23.33984375,92.3828125,2.564541901077689,99,73.71750610275194,113.62971617188305,1024000
0,16,5,6,3,ChocoSegmentedSolver,24.70703125,90.234375,5.314236105206404,103,82.05292610032484,133.47888515377417,1064960
0,17,5,6,3,ChocoSegmentedSolver,24.51171875,89.35546875,3.2651367160290525,102,77.75984368892387,118.7609987994656,1054720
