Iteration,Cost
1,24.88671875
2,29.32421875
3,26.076171875
4,28.837890625
5,27.59765625
6,25.0625
7,25.1376953125
8,25.1806640625
9,26.296875
10,25.5078125
11,27.3173828125
12,25.765625
13,25.4677734375
14,29.5732421875
15,24.841796875
16,26.732421875
17,24.8701171875
18,23.169921875
19,23.740234375
20,27.2001953125
21,23.126953125
22,25.45703125
23,27.1376953125
24,22.833984375
25,23.390625
26,23.3583984375
27,22.7451171875
28,23.671875
29,22.09375
30,23.4326171875
31,23.466796875
32,22.5810546875
33,22.4736328125
34,22.5478515625
35,22.732421875
36,22.365234375
37,22.0517578125
38,22.2060546875
39,22.3623046875
40,21.673828125
41,21.83203125
42,22.4453125
43,21.76171875
44,22.609375
45,21.3154296875
46,20.8837890625
47,22.212890625
48,21.9150390625
49,21.638671875
50,21.3466796875
51,21.8388671875
52,22.1796875
53,21.4248046875
54,21.8154296875
55,21.4453125
56,21.66796875
57,22.0234375
58,21.5986328125
59,21.3251953125
60,21.7041015625
61,21.8486328125
62,22.0244140625
63,22.0224609375
64,21.3642578125
65,21.9462890625
66,22.111328125
67,21.9560546875
68,21.46875
69,21.451171875
70,21.8046875
71,21.98828125
72,21.740234375
73,21.416015625
74,21.6640625
75,21.501953125
76,21.982421875
77,21.5078125
78,21.9052734375
79,21.7265625
80,21.7822265625
81,21.587890625
82,21.5419921875
83,21.3740234375
84,21.7900390625
85,21.7265625
86,21.7275390625
87,21.7626953125
88,21.7705078125
89,21.447265625
90,21.412109375
91,21.435546875
92,21.5087890625
93,21.4794921875
94,21.576171875
95,22.1435546875
96,21.130859375
97,21.37109375
98,21.6376953125
99,21.533203125
100,21.5390625
101,21.55859375
102,21.7451171875
103,21.8642578125
104,21.4638671875
105,21.787109375
106,21.8505859375
107,21.6572265625
108,22.2236328125
109,21.7451171875
110,21.5693359375
111,21.9873046875
112,21.98828125
113,21.634765625
114,21.6494140625
115,21.55078125
116,21.685546875
117,21.662109375
118,21.6142578125
119,21.57421875
120,21.759765625
121,21.685546875
122,21.9501953125
123,21.6748046875
124,21.5986328125
125,21.5166015625
126,21.654296875
127,21.658203125
128,21.5595703125
129,21.6943359375
130,21.5009765625
131,21.8720703125
132,21.7119140625
133,21.625
134,21.6650390625
135,21.75390625
136,21.666015625
137,21.7783203125
138,21.400390625
139,21.33984375
140,21.9697265625
141,21.728515625
142,21.591796875
143,21.7529296875
144,21.7958984375
145,21.673828125
146,22.0029296875
147,21.623046875
148,21.931640625
149,21.904296875
150,22.0283203125
151,22.1171875
152,21.8388671875
153,21.984375
154,21.359375
155,21.5087890625
156,21.6875
157,21.4453125
158,21.7587890625
159,21.607421875
160,21.8427734375
161,21.8994140625
162,21.4765625
163,21.6826171875
164,21.31640625
165,21.9970703125
166,21.96484375
167,21.7861328125
168,21.73046875
169,21.4150390625
170,21.4501953125
171,21.4052734375
172,21.4677734375
173,21.7861328125
174,21.443359375
175,21.7353515625
176,22.009765625
177,21.517578125
178,21.51171875
179,21.9013671875
180,21.7158203125
181,21.619140625
182,21.4375
183,21.515625
184,21.8701171875
185,21.4609375
186,21.66015625
187,22.0380859375
188,21.6474609375
189,21.375
190,21.5478515625
191,21.6005859375
192,21.390625
193,21.7109375
194,21.986328125
195,21.650390625
196,21.150390625
197,21.974609375
198,21.623046875
199,21.6123046875
200,21.5087890625
201,21.7724609375
202,21.25
203,21.556640625
204,21.2646484375
205,21.439453125
206,21.72265625
207,21.771484375
208,21.42578125
209,22.109375
210,21.703125
211,21.5966796875
212,21.5302734375
213,21.65234375
214,21.6943359375
215,21.607421875
216,21.408203125
217,21.63671875
218,21.65234375
219,21.2783203125
220,21.60546875
221,21.9931640625
222,21.2646484375
223,21.6494140625
224,21.396484375
225,21.552734375
226,22.033203125
227,21.3369140625
228,21.580078125
229,21.6328125
230,21.7392578125
231,21.982421875
232,21.7568359375
233,21.724609375
234,21.837890625
235,21.6982421875
236,21.587890625
237,21.7890625
238,21.9658203125
239,21.5849609375
240,21.5517578125
241,21.5166015625
242,21.9453125
243,21.5625
244,21.669921875
245,21.875
246,21.986328125
247,21.8525390625
248,21.4228515625
249,21.9228515625
250,21.521484375
251,21.83203125
252,21.44921875
253,21.5498046875
254,21.6494140625
255,21.6884765625
256,21.748046875
257,21.583984375
258,21.7060546875
259,21.6689453125
260,21.7421875
261,21.7705078125
262,21.4951171875
263,21.5009765625
264,21.236328125
265,21.42578125
266,21.4921875
267,21.87890625
268,21.51171875
269,21.73046875
270,21.380859375
271,21.638671875
272,21.5615234375
273,21.7919921875
274,21.927734375
275,21.919921875
276,21.9140625
277,21.619140625
278,21.6455078125
279,21.58984375
280,21.72265625
281,21.5341796875
282,21.455078125
283,21.7783203125
284,21.7060546875
285,21.734375
286,21.3916015625
287,21.7236328125
288,21.4404296875
289,21.89453125
290,21.337890625
291,22.0302734375
292,21.1591796875
293,21.6787109375
294,21.8251953125
295,21.7294921875
296,21.5849609375
297,21.6142578125
298,21.595703125
299,21.68359375
300,21.5361328125
301,21.6259765625
