Iteration,Cost
1,3195.6025390625
2,3195.6025390625
3,3195.6025390625
4,3195.6025390625
5,3195.6025390625
6,3195.6025390625
7,3195.6025390625
8,3195.6025390625
9,3195.6025390625
10,3195.6025390625
11,3195.6025390625
12,3195.6025390625
13,3195.6025390625
14,3195.6025390625
15,3195.6025390625
16,3206.9326171875
17,3237.228515625
18,3216.6201171875
19,3208.30078125
20,3234.5712890625
21,3144.541015625
22,3249.578125
23,3224.830078125
24,3262.8876953125
25,3295.3447265625
26,3293.634765625
27,3259.8515625
28,3201.62109375
29,3247.072265625
30,3214.0078125
31,3263.8935546875
32,3175.1591796875
33,3245.1787109375
34,3306.02734375
35,3183.232421875
36,3260.0380859375
37,3208.4248046875
38,3282.611328125
39,3232.61328125
40,3256.78515625
41,3281.908203125
42,3244.236328125
43,3235.927734375
44,3291.35546875
45,3283.966796875
46,3243.119140625
47,3283.0380859375
48,3238.2265625
49,3199.16015625
50,3302.5869140625
51,3190.298828125
52,3281.5576171875
53,3187.560546875
54,3169.59765625
55,3223.2109375
56,3236.1171875
57,3105.634765625
58,3253.9931640625
59,3340.6796875
60,3262.8671875
61,3166.7099609375
62,3237.8125
63,3197.8427734375
64,3270.986328125
65,3264.8505859375
66,3251.5927734375
67,3191.6689453125
68,3220.501953125
69,3246.4287109375
70,3241.5458984375
71,3269.345703125
72,3223.26171875
73,3229.6162109375
74,3272.794921875
75,3230.1630859375
76,3200.33203125
77,3240.3798828125
78,3174.748046875
79,3295.4755859375
80,3248.1142578125
81,3307.7509765625
82,3234.41796875
83,3229.33984375
84,3225.0009765625
85,3216.0595703125
86,3280.4384765625
87,3269.962890625
88,3275.703125
89,3255.0888671875
90,3190.322265625
91,3253.740234375
92,3224.2373046875
93,3207.8388671875
94,3311.533203125
95,3363.0126953125
96,3247.0625
97,3201.1259765625
98,3245.7490234375
99,3159.2392578125
100,3305.1728515625
101,3214.55859375
102,3275.431640625
103,3255.6376953125
104,3240.791015625
105,3225.943359375
106,3212.7666015625
107,3187.8125
108,3290.62109375
109,3270.458984375
110,3204.5146484375
111,3200.142578125
112,3284.0068359375
113,3182.169921875
114,3235.4248046875
115,3217.93359375
116,3260.4111328125
117,3203.4453125
118,3282.7255859375
119,3216.728515625
120,3209.625
121,3258.2490234375
122,3186.091796875
123,3215.1201171875
124,3240.0693359375
125,3212.4443359375
126,3227.4267578125
127,3338.0048828125
128,3237.0458984375
129,3225.3896484375
130,3245.5380859375
131,3193.92578125
132,3268.900390625
133,3221.4482421875
134,3279.3984375
135,3202.251953125
136,3211.7421875
137,3183.5205078125
138,3289.326171875
139,3318.4833984375
140,3280.541015625
141,3170.5361328125
142,3219.763671875
143,3236.123046875
144,3211.1689453125
145,3307.583984375
146,3235.0185546875
147,3232.8720703125
148,3256.2998046875
149,3293.2099609375
150,3189.330078125
151,3359.0224609375
152,3258.673828125
153,3222.58984375
154,3242.978515625
155,3305.3251953125
156,3309.07421875
157,3220.9951171875
158,3235.2333984375
159,3188.46875
160,3177.5615234375
161,3305.828125
162,3307.552734375
163,3199.3935546875
164,3321.1201171875
165,3152.8623046875
166,3198.615234375
167,3230.703125
168,3203.7685546875
169,3244.857421875
170,3245.7822265625
171,3257.7177734375
172,3180.029296875
173,3240.1337890625
174,3229.7958984375
175,3269.9296875
176,3173.0537109375
177,3263.7177734375
178,3221.8173828125
179,3218.17578125
180,3224.587890625
181,3182.9072265625
182,3196.5234375
183,3332.8291015625
184,3185.9072265625
185,3242.7890625
186,3196.818359375
187,3260.4228515625
188,3282.845703125
189,3195.365234375
190,3215.166015625
191,3318.205078125
192,3272.7294921875
193,3237.798828125
194,3314.341796875
195,3285.1025390625
196,3329.615234375
197,3218.6298828125
198,3225.82421875
199,3201.73828125
200,3275.1982421875
201,3320.0419921875
202,3265.9306640625
203,3283.3955078125
204,3325.369140625
205,3194.099609375
206,3275.451171875
207,3266.47265625
208,3180.53515625
209,3223.1396484375
210,3308.8173828125
211,3287.361328125
212,3234.44921875
213,3274.2109375
214,3264.51953125
215,3244.3564453125
216,3225.4912109375
217,3238.744140625
218,3240.3056640625
219,3250.767578125
220,3214.5205078125
221,3216.3271484375
222,3261.671875
223,3198.9208984375
224,3212.443359375
225,3249.876953125
226,3238.3486328125
227,3199.646484375
228,3253.212890625
229,3224.123046875
230,3236.986328125
231,3158.9169921875
232,3244.6826171875
233,3238.0537109375
234,3358.2255859375
235,3320.244140625
236,3240.28515625
237,3242.6064453125
238,3225.0595703125
239,3261.2841796875
240,3285.4775390625
241,3260.6962890625
242,3216.029296875
243,3270.4697265625
244,3267.828125
245,3256.59375
246,3217.3916015625
247,3259.0517578125
248,3189.8544921875
249,3231.24609375
250,3322.796875
251,3206.2080078125
252,3256.060546875
253,3251.984375
254,3300.8076171875
255,3222.39453125
256,3178.3798828125
257,3245.5625
258,3278.1455078125
259,3251.0771484375
260,3242.7900390625
261,3233.0537109375
262,3224.56640625
263,3280.2890625
264,3271.033203125
265,3176.57421875
266,3221.0439453125
267,3232.271484375
268,3268.77734375
269,3235.6435546875
270,3290.556640625
271,3215.0009765625
272,3260.9599609375
273,3172.6845703125
274,3281.28125
275,3256.6943359375
276,3342.529296875
277,3215.25390625
278,3149.830078125
279,3238.162109375
280,3186.2041015625
281,3291.8095703125
282,3196.1298828125
283,3215.27734375
284,3203.0400390625
285,3213.630859375
286,3313.8525390625
287,3227.0439453125
288,3296.62109375
289,3282.9912109375
290,3252.1826171875
291,3251.2568359375
292,3230.75
293,3251.1826171875
294,3228.0341796875
