Iteration,Cost
1,3215.8828125
2,3211.1328125
3,3211.333984375
4,3285.9921875
5,3282.1494140625
6,3310.2099609375
7,3252.8701171875
8,3234.8544921875
9,3312.2109375
10,3216.31640625
11,3323.171875
12,3263.6240234375
13,3237.578125
14,3225.8935546875
15,3319.7177734375
16,3219.546875
17,3249.826171875
18,3271.8740234375
19,3201.8232421875
20,3296.130859375
21,3270.0009765625
22,3288.1005859375
23,3220.5322265625
24,3259.58203125
25,3302.306640625
26,3212.2236328125
27,3384.140625
28,3395.533203125
29,3257.927734375
30,3244.9599609375
31,3203.271484375
32,3294.642578125
33,3264.69140625
34,3204.236328125
35,3236.0380859375
36,3264.65625
37,3189.798828125
38,3305.15234375
39,3236.009765625
40,3321.1318359375
41,3284.4267578125
42,3189.470703125
43,3260.86328125
44,3222.341796875
45,3354.7451171875
46,3155.50390625
47,3333.265625
48,3340.265625
49,3284.2685546875
50,3291.0078125
51,3247.3603515625
52,3324.1474609375
53,3193.0078125
54,3355.576171875
55,3201.9736328125
56,3355.9794921875
57,3306.8154296875
58,3258.9931640625
59,3265.6171875
60,3247.0595703125
61,3243.2255859375
62,3227.7880859375
63,3215.3154296875
64,3414.7265625
65,3197.95703125
66,3295.3515625
67,3203.2265625
68,3356.8232421875
69,3263.0634765625
70,3193.1845703125
71,3240.8251953125
72,3258.5908203125
73,3245.28125
74,3210.6416015625
75,3259.453125
76,3251.9921875
77,3252.0224609375
78,3275.66015625
79,3250.72265625
80,3230.72265625
81,3206.361328125
82,3254.97265625
83,3190.6611328125
84,3334.259765625
85,3307.095703125
86,3289.0078125
87,3305.484375
88,3273.705078125
89,3289.525390625
90,3254.6396484375
91,3338.9912109375
92,3236.6630859375
93,3285.5068359375
94,3234.8857421875
95,3257.0224609375
96,3214.6416015625
97,3224.00390625
98,3378.9443359375
99,3320.1826171875
100,3276.31640625
101,3262.046875
102,3230.2763671875
103,3221.7314453125
104,3219.3984375
105,3245.2734375
106,3349.3095703125
107,3282.7685546875
108,3220.1328125
109,3275.779296875
110,3216.4423828125
111,3324.5029296875
112,3200.0048828125
113,3270.974609375
114,3235.48046875
115,3284.4208984375
116,3355.861328125
117,3258.2177734375
118,3260.373046875
119,3185.6240234375
120,3269.8564453125
121,3293.958984375
122,3276.2177734375
123,3227.873046875
124,3264.5751953125
125,3346.52734375
126,3275.689453125
127,3285.0234375
128,3301.0966796875
129,3298.98046875
130,3300.5849609375
131,3234.4248046875
132,3244.5390625
133,3178.6650390625
134,3215.8828125
135,3181.080078125
136,3279.9580078125
137,3261.626953125
138,3266.4833984375
139,3279.7021484375
140,3284.8994140625
141,3281.005859375
142,3293.1904296875
143,3315.8466796875
144,3278.6357421875
145,3235.9912109375
146,3286.0732421875
147,3220.15625
148,3284.16796875
149,3300.6416015625
150,3212.7412109375
151,3294.033203125
152,3310.7568359375
153,3222.36328125
