Iteration,Cost
1,21.109375
2,21.0703125
3,21.7763671875
4,21.23046875
5,21.724609375
6,21.685546875
7,22.2529296875
8,20.2373046875
9,20.654296875
10,20.69921875
11,20.7236328125
12,17.2822265625
13,17.126953125
14,17.5576171875
15,16.3310546875
16,18.123046875
17,17.8720703125
18,16.26953125
19,16.1865234375
20,16.328125
21,17.599609375
22,16.546875
23,15.83203125
24,16.455078125
25,17.3310546875
26,14.525390625
27,13.845703125
28,13.5244140625
29,14.708984375
30,13.353515625
31,15.0673828125
32,14.9541015625
33,15.046875
34,13.67578125
35,20.5791015625
36,13.1552734375
37,17.3408203125
38,16.6201171875
39,12.0703125
40,12.3193359375
41,12.2685546875
42,11.9189453125
43,13.3134765625
44,12.3544921875
45,18.755859375
46,14.5458984375
47,12.515625
48,10.6630859375
49,10.3173828125
50,11.28515625
51,9.87890625
52,10.6904296875
53,10.4052734375
54,15.095703125
55,9.162109375
56,11.1513671875
57,9.3916015625
58,9.53125
59,9.556640625
60,12.6484375
61,9.2392578125
62,11.1376953125
63,10.2958984375
64,8.208984375
65,8.203125
66,9.4853515625
67,8.0625
68,7.9677734375
69,8.126953125
70,12.52734375
71,9.43359375
72,8.435546875
73,8.423828125
74,8.76953125
75,8.3486328125
76,8.33984375
77,8.720703125
78,8.251953125
79,8.3125
80,7.998046875
81,8.369140625
82,7.8251953125
83,8.533203125
84,8.251953125
85,8.267578125
86,8.3720703125
87,8.0947265625
88,7.8662109375
89,7.5517578125
90,7.837890625
91,7.7587890625
92,7.6103515625
93,7.7822265625
94,7.978515625
95,7.5693359375
96,7.771484375
97,7.626953125
98,7.5634765625
99,7.505859375
100,7.4140625
101,7.4453125
102,7.50390625
103,7.556640625
104,7.1748046875
105,7.2158203125
106,7.322265625
107,7.4228515625
108,7.3271484375
109,7.3125
110,7.2548828125
111,7.4140625
112,7.4716796875
113,7.333984375
114,7.3251953125
115,7.4951171875
116,7.125
117,7.255859375
118,7.2890625
119,7.3359375
120,7.4541015625
121,7.2822265625
122,7.26171875
123,7.4267578125
124,7.4404296875
125,7.2373046875
126,7.224609375
127,7.4208984375
128,7.23828125
129,7.3759765625
130,7.328125
131,7.322265625
132,7.3330078125
133,7.3427734375
134,7.1689453125
135,7.3193359375
136,7.201171875
137,7.205078125
138,7.37890625
139,7.4453125
140,7.3525390625
141,7.283203125
142,7.3359375
143,7.359375
144,7.3837890625
145,7.2529296875
146,7.3896484375
147,7.3447265625
148,7.3701171875
149,7.2412109375
150,7.3310546875
151,7.3251953125
152,7.2783203125
153,7.3955078125
154,7.375
155,7.291015625
156,7.2763671875
157,7.32421875
158,7.2998046875
159,7.2392578125
160,7.21875
161,7.3076171875
162,7.333984375
163,7.328125
164,7.2529296875
165,7.2587890625
166,7.3623046875
167,7.2666015625
168,7.25390625
169,7.2451171875
170,7.3466796875
171,7.2490234375
172,7.3623046875
173,7.203125
174,7.2353515625
175,7.244140625
176,7.2822265625
177,7.431640625
178,7.2578125
179,7.224609375
180,7.326171875
181,7.2138671875
182,7.333984375
183,7.39453125
184,7.4140625
185,7.232421875
186,7.3447265625
187,7.3115234375
188,7.2197265625
189,7.2509765625
190,7.2880859375
191,7.3642578125
192,7.291015625
193,7.322265625
194,7.2724609375
195,7.234375
196,7.3203125
197,7.3359375
198,7.1796875
199,7.2822265625
200,7.2734375
201,7.2578125
202,7.2587890625
203,7.2529296875
204,7.3330078125
205,7.3232421875
206,7.2939453125
207,7.2578125
208,7.2607421875
209,7.36328125
210,7.3779296875
211,7.2939453125
212,7.25
213,7.333984375
214,7.3515625
215,7.306640625
216,7.3466796875
217,7.318359375
218,7.357421875
219,7.22265625
220,7.30859375
221,7.294921875
222,7.259765625
223,7.3271484375
224,7.3203125
225,7.23046875
226,7.314453125
227,7.298828125
228,7.31640625
229,7.2646484375
230,7.2529296875
231,7.4541015625
232,7.25390625
233,7.27734375
234,7.2333984375
235,7.2314453125
236,7.2998046875
237,7.2548828125
238,7.2900390625
239,7.2783203125
240,7.283203125
241,7.298828125
242,7.349609375
243,7.283203125
244,7.314453125
245,7.34375
246,7.2802734375
247,7.330078125
248,7.2998046875
249,7.3212890625
250,7.3310546875
251,7.283203125
252,7.4111328125
253,7.3076171875
254,7.251953125
255,7.326171875
256,7.3212890625
257,7.263671875
258,7.3095703125
259,7.33203125
260,7.3984375
261,7.2841796875
262,7.3486328125
263,7.2265625
264,7.2763671875
265,7.271484375
266,7.21875
267,7.1728515625
268,7.23828125
269,7.3994140625
270,7.33984375
271,7.3193359375
272,7.2919921875
273,7.3837890625
274,7.22265625
275,7.2412109375
276,7.2783203125
277,7.3212890625
278,7.2529296875
279,7.2783203125
280,7.361328125
281,7.2998046875
282,7.2431640625
283,7.2373046875
284,7.2431640625
285,7.302734375
286,7.2626953125
287,7.359375
288,7.2548828125
289,7.2734375
290,7.3134765625
291,7.373046875
292,7.3251953125
293,7.2783203125
294,7.3173828125
295,7.322265625
296,7.326171875
297,7.1875
298,7.2783203125
299,7.359375
300,7.34765625
301,7.2568359375
