Iteration,Cost
1,22.8115234375
2,21.91796875
3,22.943359375
4,22.4931640625
5,21.4248046875
6,23.2158203125
7,23.4052734375
8,21.5986328125
9,22.6533203125
10,23.162109375
11,24.1435546875
12,22.001953125
13,21.4453125
14,21.296875
15,23.7265625
16,21.6220703125
17,24.302734375
18,22.1875
19,22.525390625
20,25.482421875
21,22.265625
22,22.8232421875
23,21.994140625
24,23.1708984375
25,22.7060546875
26,22.8330078125
27,23.3369140625
28,18.6416015625
29,20.6845703125
30,19.0595703125
31,20.4931640625
32,19.515625
33,20.828125
34,19.84765625
35,22.513671875
36,19.0546875
37,19.984375
38,20.0078125
39,23.4794921875
40,19.408203125
41,23.822265625
42,20.63671875
43,21.3203125
44,22.4775390625
45,23.37109375
46,20.2109375
47,23.7900390625
48,22.376953125
49,23.0078125
50,20.5830078125
51,21.703125
52,21.0087890625
53,20.4140625
54,20.314453125
55,22.572265625
56,20.943359375
57,18.748046875
58,19.8701171875
59,19.91015625
60,18.466796875
61,18.3447265625
62,18.484375
63,18.974609375
64,18.7744140625
65,19.876953125
66,18.619140625
67,19.0595703125
68,18.306640625
69,19.1025390625
70,18.5986328125
71,20.240234375
72,18.2529296875
73,19.7421875
74,18.5009765625
75,18.1904296875
76,18.6845703125
77,19.724609375
78,18.26953125
79,18.212890625
80,17.8115234375
81,18.853515625
82,18.3857421875
83,18.9619140625
84,19.423828125
85,19.927734375
86,19.4443359375
87,18.7939453125
88,18.0546875
89,18.4580078125
90,18.392578125
91,18.0673828125
92,18.8017578125
93,18.6376953125
94,18.263671875
95,18.533203125
96,18.4951171875
97,17.9775390625
98,18.6484375
99,17.814453125
100,18.1455078125
101,17.8544921875
102,18.3681640625
103,17.72265625
104,18.0751953125
105,17.712890625
106,17.8427734375
107,17.94140625
108,18.2060546875
109,18.095703125
110,18.1181640625
111,18.0888671875
112,17.935546875
113,18.0810546875
114,18.2451171875
115,18.0283203125
116,18.431640625
117,18.0595703125
118,18.1142578125
119,18.5048828125
120,18.1748046875
121,18.365234375
122,18.3193359375
123,17.943359375
124,17.8408203125
125,17.9912109375
126,17.962890625
127,18.5283203125
128,18.1005859375
129,17.9033203125
130,18.333984375
131,17.91796875
132,18.158203125
133,18.359375
134,18.33203125
135,18.0927734375
136,18.126953125
137,18.4775390625
138,17.9296875
139,18.0517578125
140,18.0947265625
141,17.7890625
142,18.2802734375
143,17.9169921875
144,18.2216796875
145,18.1796875
146,17.9794921875
147,17.900390625
148,18.041015625
149,18.3896484375
150,18.3662109375
151,18.466796875
152,17.9853515625
153,17.970703125
154,18.1123046875
155,17.841796875
156,18.1953125
157,18.1962890625
158,18.0078125
159,17.865234375
160,18.4482421875
161,17.91796875
162,18.046875
163,18.2177734375
164,18.30078125
165,17.955078125
166,18.0634765625
167,17.9462890625
168,17.9853515625
169,17.9794921875
170,17.9365234375
171,18.3984375
172,18.279296875
173,18.44140625
174,18.6328125
175,18.259765625
176,18.4501953125
177,18.0458984375
178,18.5810546875
179,18.08984375
180,17.822265625
181,17.984375
182,17.8642578125
183,17.8203125
184,18.314453125
185,17.9970703125
186,18.2783203125
187,18.38671875
188,18.923828125
189,17.9345703125
190,18.4482421875
191,18.0390625
192,18.0869140625
193,18.02734375
194,17.9951171875
195,18.3427734375
196,18.1455078125
197,18.115234375
198,18.18359375
199,18.181640625
200,18.2001953125
201,18.1025390625
202,18.173828125
203,17.9208984375
204,17.974609375
205,17.9287109375
206,18.212890625
207,18.5244140625
208,18.177734375
209,17.7216796875
210,18.154296875
211,17.9296875
212,18.0546875
213,18.25
214,18.240234375
215,18.0419921875
216,18.3046875
217,18.291015625
218,18.03515625
219,17.93359375
220,18.1064453125
221,18.2373046875
222,18.0810546875
223,18.376953125
224,17.8828125
225,18.0673828125
226,17.876953125
227,18.0244140625
228,18.140625
229,18.1669921875
230,18.015625
231,17.86328125
232,18.1728515625
233,18.3076171875
234,18.0048828125
235,17.9189453125
236,18.201171875
237,17.9677734375
238,17.9501953125
239,17.9423828125
240,17.837890625
241,17.841796875
242,18.1806640625
243,17.84375
244,18.1064453125
245,18.0625
246,18.0634765625
247,18.09765625
248,17.955078125
249,18.001953125
250,18.0400390625
251,17.9228515625
252,17.72265625
253,18.3203125
254,18.0224609375
255,18.1025390625
256,17.70703125
257,18.109375
258,17.826171875
259,17.9140625
260,17.771484375
261,18.1083984375
262,18.5615234375
263,18.0859375
264,18.0068359375
265,17.958984375
266,18.220703125
267,17.9482421875
268,18.5908203125
269,17.984375
270,18.158203125
271,18.0166015625
272,17.9873046875
273,18.4921875
274,18.126953125
275,18.064453125
276,18.080078125
277,17.9873046875
278,18.13671875
279,18.0322265625
280,18.087890625
281,18.1611328125
282,18.099609375
283,18.154296875
284,17.994140625
285,18.025390625
286,18.251953125
287,18.0361328125
288,18.275390625
289,17.765625
290,18.318359375
291,18.28515625
292,18.4423828125
293,18.02734375
294,17.8134765625
295,17.96484375
296,18.1064453125
297,18.1953125
298,18.154296875
299,17.9775390625
300,17.826171875
301,18.099609375
