Iteration,Cost
1,3714.1279296875
2,3714.1279296875
3,3714.1279296875
4,3714.1279296875
5,3714.1279296875
6,3714.1279296875
7,3714.1279296875
8,3714.1279296875
9,3714.1279296875
10,3714.1279296875
11,3714.1279296875
12,3714.1279296875
13,3714.1279296875
14,3714.1279296875
15,3714.1279296875
16,3358.0771484375
17,3349.853515625
18,3337.4921875
19,3419.314453125
20,3309.970703125
21,3313.033203125
22,3307.67578125
23,3309.7724609375
24,3340.0947265625
25,3384.958984375
26,3172.4912109375
27,3182.1123046875
28,2912.203125
29,2858.4951171875
30,2772.86328125
31,2772.86328125
32,2772.86328125
33,2772.86328125
34,2772.86328125
35,2772.86328125
36,2772.86328125
37,2772.86328125
38,2772.86328125
39,2772.86328125
40,2772.86328125
41,2772.86328125
42,2772.86328125
43,2772.86328125
44,2772.86328125
45,2772.86328125
46,2316.9951171875
47,2181.59375
48,2298.4111328125
49,2181.59375
50,2192.8828125
51,2181.59375
52,2197.9599609375
53,2181.59375
54,2206.6904296875
55,2181.59375
56,2211.6904296875
57,2181.59375
58,2208.6552734375
59,2181.59375
60,2203.0595703125
61,2181.59375
62,2191.4921875
63,2181.59375
64,2214.5302734375
65,2178.87890625
66,2209.9453125
67,2251.59375
68,2148.97265625
69,2237.52734375
70,2434.685546875
71,2271.83984375
72,2293.6015625
73,2207.8955078125
74,2215.5810546875
75,2147.43359375
76,2100.783203125
77,2044.8955078125
78,2079.8935546875
79,2044.8955078125
80,2036.263671875
81,2036.263671875
82,2031.4775390625
83,2031.4775390625
84,2018.2919921875
85,2018.2919921875
86,2009.755859375
87,2009.755859375
88,2009.8701171875
89,2009.755859375
90,2055.9853515625
91,2009.755859375
92,2066.7138671875
93,1998.498046875
94,2225.3916015625
95,2100.57421875
96,2088.05078125
97,2031.3427734375
98,1840.7392578125
99,1849.126953125
100,1898.919921875
101,1840.2041015625
102,1790.171875
103,1795.99609375
104,1759.0830078125
105,1779.7666015625
106,1706.55078125
107,1706.55078125
108,1826.6650390625
109,1706.55078125
110,1945.0927734375
111,1706.55078125
112,1733.9326171875
113,1706.55078125
114,1705.423828125
115,1705.423828125
116,1722.8720703125
117,1777.75390625
118,1802.3876953125
119,1758.6015625
120,1649.181640625
121,1847.3525390625
122,1929.3642578125
123,1620.3740234375
124,1651.5302734375
125,1620.3740234375
126,1583.6181640625
127,1598.8173828125
128,1740.61328125
129,1583.6181640625
130,1607.669921875
131,1573.0263671875
132,1578.66796875
133,1573.0263671875
134,1605.1015625
135,1570.248046875
136,1546.36328125
137,1546.36328125
138,1950.099609375
139,1536.2060546875
140,1542.5947265625
141,1540.56640625
142,1540.4794921875
143,1536.2060546875
144,1523.4296875
145,1552.439453125
146,2071.0634765625
147,1553.3759765625
148,1675.5693359375
149,1531.6123046875
150,1733.2119140625
151,1525.7236328125
152,1501.8662109375
153,1518.255859375
154,1522.2099609375
155,1566.4404296875
156,1451.5166015625
157,1451.5166015625
158,1680.501953125
159,1451.5166015625
160,1526.38671875
161,1451.5166015625
162,1548.3076171875
163,1451.5166015625
164,1396.779296875
165,1386.2685546875
166,1393.123046875
167,1395.8974609375
168,1303.974609375
169,1303.974609375
170,1918.5029296875
171,1491.35546875
172,1426.32421875
173,1504.109375
174,1360.1162109375
175,1303.974609375
176,1391.0302734375
177,1478.8818359375
178,1454.0615234375
179,1357.77734375
180,1234.43359375
181,1234.43359375
182,1253.2373046875
183,1234.43359375
184,1250.56640625
185,1243.6884765625
186,1234.67578125
187,1234.951171875
188,1580.5068359375
189,1234.43359375
190,1271.1259765625
191,1250.3681640625
192,1232.66015625
193,1232.66015625
194,1491.953125
195,1229.9423828125
196,1303.9267578125
197,1192.552734375
198,1194.794921875
199,1231.31640625
200,1264.5078125
201,1193.4130859375
202,1233.7978515625
203,1229.0771484375
204,1198.533203125
205,1192.552734375
206,1386.4736328125
207,1192.552734375
208,1130.0361328125
209,1130.0361328125
210,1429.529296875
211,1459.0244140625
212,1040.96875
213,1049.56640625
214,1507.341796875
215,1151.275390625
216,1129.4345703125
217,1075.8154296875
218,1106.9091796875
219,1064.7392578125
220,1418.66015625
221,1091.015625
222,1384.5361328125
223,1021.2529296875
224,1427.1337890625
225,1021.2529296875
226,1265.984375
227,1021.2529296875
228,1058.650390625
229,1068.0390625
230,1047.1630859375
231,1022.0498046875
232,1116.05078125
233,1019.966796875
234,1025.748046875
235,1035.4833984375
236,1207.2587890625
237,994.97265625
238,1154.9765625
239,973.5146484375
240,1285.345703125
241,973.5146484375
242,1142.7177734375
243,973.5146484375
244,996.708984375
245,973.5146484375
246,1087.2998046875
247,960.98046875
248,1079.3095703125
249,978.5537109375
250,1020.2275390625
251,839.5302734375
252,1401.740234375
253,1076.54296875
254,1298.7373046875
255,891.599609375
256,1261.544921875
257,927.5009765625
258,1261.474609375
259,926.4033203125
260,827.4189453125
261,959.1396484375
262,836.7890625
263,829.8154296875
264,827.4189453125
265,830.2216796875
266,827.4189453125
267,887.8466796875
268,892.4169921875
269,881.42578125
270,829.703125
271,864.6748046875
272,845.8876953125
273,848.9326171875
274,853.599609375
275,917.96875
276,840.998046875
277,926.9365234375
278,900.8994140625
279,928.4208984375
280,843.0771484375
281,870.025390625
282,831.09375
283,830.2431640625
284,843.0576171875
285,772.4404296875
286,782.2373046875
287,793.86328125
288,798.443359375
289,775.9765625
290,812.0947265625
291,864.5419921875
292,816.166015625
293,665.1787109375
294,560.4970703125
295,658.078125
296,594.7236328125
297,622.0439453125
298,603.076171875
299,597.44921875
300,560.4970703125
301,560.4970703125
