Iteration,Cost
1,3277.888671875
2,3136.333984375
3,3195.1044921875
4,3333.169921875
5,3143.1279296875
6,3127.18359375
7,3168.72265625
8,3178.705078125
9,3135.9013671875
10,3224.494140625
11,3131.3427734375
12,3260.2109375
13,3147.4833984375
14,3312.26953125
15,3143.2099609375
16,3127.6552734375
17,3046.8232421875
18,3234.50390625
19,3191.666015625
20,3140.3720703125
21,3169.8544921875
22,3184.513671875
23,3229.0537109375
24,3251.037109375
25,3210.9658203125
26,3299.775390625
27,3341.3671875
28,3070.29296875
29,3157.3525390625
30,3225.9658203125
31,3101.8095703125
32,3164.615234375
33,3136.1669921875
34,3228.4169921875
35,3183.2060546875
36,3081.974609375
37,3251.578125
38,3187.8662109375
39,3206.5634765625
40,3132.2998046875
41,3148.4091796875
42,3173.1298828125
43,3190.0986328125
44,3115.255859375
45,3175.9306640625
46,3151.6279296875
47,3116.3291015625
48,3288.54296875
49,3310.2421875
50,3193.8505859375
51,3084.71875
52,3196.3369140625
53,3248.447265625
54,3192.9091796875
55,3085.474609375
56,3126.955078125
57,3170.1064453125
58,3190.783203125
59,3119.6748046875
60,3189.8212890625
61,3179.9931640625
62,3105.0244140625
63,3145.91015625
64,3185.5576171875
65,3166.1484375
66,3159.9697265625
67,3146.6357421875
68,3213.2548828125
69,3180.1796875
70,3072.009765625
71,3122.8134765625
72,3184.041015625
73,3160.1162109375
74,3150.154296875
75,3167.5966796875
76,3152.3671875
77,3171.705078125
78,3218.9853515625
79,3105.255859375
80,3110.7158203125
81,3162.8720703125
82,3137.6748046875
83,3099.0322265625
84,3100.1904296875
85,3115.3984375
86,3166.4013671875
87,3157.0869140625
88,3129.794921875
89,3116.892578125
90,3112.6513671875
91,3154.150390625
92,3144.330078125
93,3166.8486328125
94,3125.162109375
95,3163.7216796875
96,3122.29296875
97,3140.76171875
98,3114.4755859375
99,3055.654296875
100,3171.60546875
101,3082.662109375
102,3060.7255859375
103,3113.4697265625
104,3086.361328125
105,3202.447265625
106,3101.88671875
107,3101.5947265625
108,3122.3994140625
109,3166.1943359375
110,3090.392578125
111,3052.2490234375
112,3153.2724609375
113,3095.7861328125
114,3168.7529296875
115,3055.328125
116,3063.626953125
117,3174.1943359375
118,3192.1875
119,3154.0498046875
120,3120.400390625
121,3130.4541015625
122,3141.6025390625
123,3184.099609375
124,3097.9482421875
125,3128.96875
126,3041.017578125
127,3076.9697265625
128,3090.3720703125
129,3063.8427734375
130,3084.0712890625
131,3038.0849609375
132,3035.8408203125
133,3036.0302734375
134,3100.76171875
135,3083.974609375
136,3152.5859375
137,3126.46875
138,3082.193359375
139,3180.375
140,3049.3671875
141,3138.158203125
142,3049.943359375
143,3134.8857421875
144,3038.6337890625
145,3205.1103515625
146,3041.419921875
147,3050.3046875
148,3082.8681640625
149,3073.943359375
150,3108.9326171875
151,3010.7578125
152,3114.794921875
153,3057.4951171875
154,3072.2822265625
155,3014.7578125
156,3101.2509765625
157,3056.703125
158,3124.90625
159,3030.0712890625
160,3082.44140625
161,3037.41015625
162,2999.86328125
163,3145.2041015625
164,2992.046875
165,3084.7236328125
166,3014.5263671875
167,3031.0205078125
168,3035.755859375
169,3020.09375
170,2998.2421875
171,3072.353515625
172,3067.0576171875
173,3121.8271484375
174,3060.0537109375
175,3004.6171875
176,2979.4560546875
177,3022.7177734375
178,3001.30859375
179,3052.0517578125
180,3008.326171875
181,3047.599609375
182,3006.8505859375
183,3094.0048828125
184,3032.611328125
185,2999.0341796875
186,3010.6630859375
187,2997.333984375
188,3021.556640625
189,3006.0615234375
190,3054.76953125
191,3009.142578125
192,3081.7236328125
193,2995.9375
194,3061.0087890625
195,2986.6044921875
196,3064.5869140625
197,3005.947265625
198,3029.5009765625
199,3045.99609375
200,2995.7939453125
201,3035.7431640625
202,2987.3828125
203,3024.138671875
204,2988.771484375
205,3015.4189453125
206,2980.2353515625
207,2999.150390625
208,3020.05859375
209,2993.6572265625
210,2978.013671875
211,3019.5068359375
212,3017.6826171875
213,3010.0537109375
214,2992.14453125
215,2981.078125
216,2983.4814453125
217,2988.8955078125
218,2993.5419921875
219,2981.8896484375
220,2990.4384765625
221,2984.255859375
222,2997.5693359375
223,2979.5751953125
224,3010.6806640625
225,2985.0439453125
226,2988.7939453125
227,2978.0419921875
228,3009.8818359375
229,2984.2490234375
230,2984.2666015625
231,3016.9189453125
232,3033.47265625
233,3013.20703125
234,2982.6748046875
235,2991.259765625
236,2981.1044921875
237,2997.5791015625
238,2974.1201171875
239,3021.0283203125
240,2978.00390625
241,3011.453125
242,2981.099609375
243,2980.34765625
244,2987.3701171875
245,2976.462890625
246,2977.263671875
247,2974.130859375
248,2990.525390625
249,2977.2080078125
250,2984.2861328125
251,2980.34375
252,2996.7158203125
253,2980.34375
254,3005.9716796875
255,2978.7353515625
256,2975.6748046875
257,2985.759765625
258,2978.77734375
259,2978.0234375
260,2980.3203125
261,2974.900390625
262,2989.708984375
263,2980.365234375
264,3008.30078125
265,2980.3916015625
266,2975.6689453125
267,2977.9990234375
268,2975.6689453125
269,2980.3916015625
270,2977.240234375
271,2978.8046875
272,2978.7763671875
273,2974.126953125
274,2974.1279296875
275,2974.900390625
276,2984.990234375
277,2974.900390625
278,2979.5517578125
279,2975.662109375
280,2976.4560546875
281,2974.9072265625
282,2978.0078125
283,2974.1201171875
284,2976.4560546875
