Iteration,Cost
1,14.0712890625
2,13.9697265625
3,13.990234375
4,14.0439453125
5,11.921875
6,12.1845703125
7,9.6875
8,10.41796875
9,9.6103515625
10,10.4091796875
11,10.1357421875
12,9.8447265625
13,9.677734375
14,8.6591796875
15,11.4111328125
16,11.1064453125
17,8.654296875
18,8.5859375
19,10.4560546875
20,8.9189453125
21,8.9072265625
22,8.3642578125
23,11.29296875
24,7.158203125
25,6.802734375
26,7.0029296875
27,12.59765625
28,6.71875
29,11.0849609375
30,8.67578125
31,6.955078125
32,6.3974609375
33,6.54296875
34,6.4052734375
35,6.845703125
36,6.38671875
37,6.2734375
38,5.5341796875
39,5.3369140625
40,5.3203125
41,5.505859375
42,5.935546875
43,5.4580078125
44,5.7060546875
45,5.7861328125
46,6.083984375
47,5.451171875
48,5.4052734375
49,5.4189453125
50,6.822265625
51,5.486328125
52,4.7333984375
53,5.1572265625
54,4.71484375
55,4.6787109375
56,5.00390625
57,6.2021484375
58,5.7578125
59,4.306640625
60,4.39453125
61,4.296875
62,4.455078125
63,4.5703125
64,4.2392578125
65,4.3466796875
66,4.3984375
67,4.3935546875
68,4.505859375
69,4.392578125
70,4.3046875
71,4.45703125
72,4.560546875
73,4.2490234375
74,4.2919921875
75,4.4287109375
76,4.587890625
77,4.271484375
78,4.4453125
79,4.1728515625
80,4.126953125
81,4.2578125
82,4.5634765625
83,4.279296875
84,4.22265625
85,4.1591796875
86,4.1767578125
87,4.2158203125
88,4.1796875
89,4.1142578125
90,4.1494140625
91,4.28515625
92,4.1484375
93,4.171875
94,4.216796875
95,4.1044921875
96,4.134765625
97,4.1298828125
98,4.09375
99,4.107421875
100,4.1611328125
101,4.15625
102,4.1708984375
103,4.134765625
104,4.1328125
105,4.1142578125
106,4.1474609375
107,4.142578125
108,4.1142578125
109,4.169921875
110,4.099609375
111,4.1572265625
112,4.1064453125
113,4.203125
114,4.177734375
115,4.130859375
116,4.1142578125
117,4.1708984375
118,4.123046875
119,4.1259765625
120,4.17578125
121,4.076171875
122,4.11328125
123,4.1005859375
124,4.1630859375
125,4.1259765625
126,4.1318359375
127,4.1279296875
128,4.1669921875
129,4.130859375
130,4.1181640625
131,4.140625
132,4.1103515625
133,4.1552734375
134,4.1376953125
135,4.1923828125
136,4.134765625
137,4.19140625
138,4.1884765625
139,4.205078125
140,4.16015625
141,4.115234375
142,4.1279296875
143,4.119140625
144,4.1455078125
145,4.126953125
146,4.1513671875
147,4.126953125
148,4.1650390625
149,4.1240234375
150,4.1630859375
151,4.1357421875
152,4.1533203125
153,4.126953125
154,4.1484375
155,4.17578125
156,4.123046875
157,4.123046875
158,4.1484375
159,4.1220703125
160,4.1181640625
161,4.2578125
162,4.162109375
163,4.154296875
164,4.12109375
165,4.126953125
166,4.1357421875
167,4.134765625
168,4.1357421875
169,4.1611328125
170,4.1884765625
171,4.115234375
172,4.083984375
173,4.1689453125
174,4.126953125
175,4.1669921875
176,4.1025390625
177,4.1572265625
178,4.1337890625
179,4.1240234375
180,4.111328125
181,4.1064453125
182,4.1220703125
183,4.123046875
184,4.1455078125
185,4.14453125
186,4.140625
187,4.1123046875
188,4.134765625
189,4.1220703125
190,4.130859375
191,4.1484375
192,4.1064453125
193,4.140625
194,4.1552734375
195,4.14453125
196,4.1396484375
197,4.2138671875
198,4.14453125
199,4.1376953125
200,4.1455078125
201,4.1025390625
202,4.1806640625
203,4.134765625
204,4.1044921875
205,4.1220703125
206,4.1328125
207,4.126953125
208,4.126953125
209,4.142578125
210,4.1533203125
211,4.13671875
212,4.158203125
213,4.134765625
214,4.1962890625
215,4.1337890625
216,4.1337890625
217,4.1240234375
218,4.1533203125
219,4.1005859375
220,4.1083984375
221,4.1142578125
222,4.158203125
223,4.2001953125
224,4.119140625
225,4.1259765625
226,4.103515625
227,4.1298828125
228,4.13671875
229,4.138671875
230,4.1259765625
231,4.0830078125
232,4.1259765625
233,4.1650390625
234,4.166015625
235,4.173828125
236,4.142578125
237,4.146484375
238,4.1201171875
239,4.1640625
240,4.1455078125
241,4.1279296875
242,4.1650390625
243,4.130859375
244,4.13671875
245,4.185546875
246,4.12890625
247,4.1533203125
248,4.189453125
249,4.138671875
250,4.162109375
251,4.171875
252,4.1279296875
253,4.1787109375
254,4.162109375
255,4.111328125
256,4.1259765625
257,4.1357421875
258,4.1611328125
259,4.111328125
260,4.1064453125
261,4.130859375
262,4.14453125
263,4.12890625
264,4.197265625
265,4.1123046875
266,4.138671875
267,4.10546875
268,4.1826171875
269,4.1875
270,4.076171875
271,4.126953125
272,4.1298828125
273,4.134765625
274,4.1533203125
275,4.0888671875
276,4.1796875
277,4.18359375
278,4.201171875
279,4.17578125
280,4.0947265625
281,4.1337890625
282,4.2060546875
283,4.1796875
284,4.1591796875
285,4.1376953125
286,4.212890625
287,4.126953125
288,4.16015625
289,4.083984375
290,4.0576171875
291,4.10546875
292,4.1171875
293,4.1103515625
294,4.1494140625
295,4.138671875
296,4.19140625
297,4.15625
298,4.1455078125
299,4.142578125
300,4.158203125
301,4.099609375
