Iteration,Cost
1,74.6689453125
2,68.609375
3,64.5029296875
4,59.7861328125
5,57.31640625
6,56.3037109375
7,56.150390625
8,56.0048828125
9,56.328125
10,54.9892578125
11,69.6015625
12,57.43359375
13,63.4267578125
14,71.384765625
15,58.2412109375
16,56.888671875
17,56.1298828125
18,50.3193359375
19,57.9169921875
20,50.3115234375
21,58.1337890625
22,49.814453125
23,58.2216796875
24,56.3876953125
25,58.6708984375
26,55.0849609375
27,59.7021484375
28,53.3095703125
29,48.9033203125
30,48.4287109375
31,50.0185546875
32,48.775390625
33,52.4423828125
34,48.9072265625
35,54.455078125
36,49.81640625
37,50.44140625
38,48.7890625
39,60.478515625
40,50.1162109375
41,48.150390625
42,49.2353515625
43,49.6328125
44,49.15625
45,49.107421875
46,48.54296875
47,48.056640625
48,49.1396484375
49,48.3642578125
50,48.7705078125
51,48.314453125
