Iteration,Cost
1,26.052734375
2,26.083984375
3,25.931640625
4,26.4453125
5,25.5732421875
6,31.96875
7,28.76953125
8,25.3994140625
9,25.7158203125
10,26.013671875
11,25.88671875
12,25.8837890625
13,25.5673828125
14,25.697265625
15,25.5888671875
16,25.671875
17,25.8935546875
18,25.4794921875
19,25.2578125
20,25.1240234375
21,25.1259765625
22,25.130859375
23,25.0556640625
24,25.1240234375
25,25.0244140625
26,25.076171875
27,25.03125
28,25.00390625
29,25.001953125
30,25.0498046875
31,25.0048828125
32,25.0029296875
33,25.0048828125
34,25.0048828125
35,25.0009765625
36,25.0029296875
37,25.0029296875
38,25.00390625
39,25.0048828125
40,25.0029296875
41,25.0205078125
42,25.001953125
43,25.0009765625
44,25.0029296875
45,25.00390625
46,25.0048828125
47,25.001953125
48,25.001953125
49,25.001953125
50,25.0009765625
51,25.0048828125
