Iteration,Cost
1,56.33984375
2,51.919921875
3,54.7509765625
4,46.474609375
5,48.5927734375
6,47.09375
7,46.7490234375
8,49.2822265625
9,49.1591796875
10,50.515625
11,51.6689453125
12,48.220703125
13,52.05078125
14,46.173828125
15,53.5478515625
16,46.3916015625
17,46.2578125
18,47.951171875
19,49.9833984375
20,48.6689453125
21,51.615234375
22,46.28515625
23,45.314453125
24,48.19140625
25,49.4091796875
26,46.20703125
27,45.6845703125
28,49.1181640625
29,46.53125
30,46.330078125
31,47.962890625
32,46.5986328125
33,46.583984375
34,50.154296875
35,49.0166015625
36,45.6552734375
37,47.0419921875
38,46.6123046875
39,46.5390625
40,47.068359375
41,44.7373046875
42,45.7138671875
43,45.5693359375
44,45.5458984375
45,44.56640625
46,44.310546875
47,45.6015625
48,44.513671875
49,46.1044921875
50,43.1845703125
51,44.494140625
